source_id,text,gt_Activities,gt_Budget,gt_Evaluation,gt_External Contracts,gt_Institutional Structure,gt_Other,gt_Regulatory
0,1) Requiero que se entregue copia de la investigación de mercados realizado por COMESA EN LA CUAL SE DETERMINA CUALES SON LAS MEJORES CONDICIONES PARA EL ESTADO PARA LA ADJUCACION DIRECTA NO. SA-018TQA001-N231-2013. 2) REQUIERO QUE SE ENTREGUE COPIA DEL ACUERDO No 04/E25/2013 3) REQUIERO COPIA DE LA MINUTA DE LA SESSION VIGESIMA QUINTA EXTRAORDINARIA DE FECHA DE 30 DICIEMBRE DE 2013 DEL CAAS EN COMESA 4) REQUIERO COPIA DEL ACTA DE LA SESION VIGESIMA QUINTA EXTRAORDINARIA DE FECHA DE 30 DICIEMBRE DE 2013 DEL CAAS EN COMESA 5) DE ACUERDO AL ART 41 FRACCION III DE LA LEY AASSP III. Existan circunstancias que puedan provocar pérdidas o costos adicionales importantes cuantificados y justificados; Solicito a COMESA ME ENTREGUE UN DOCUMENTO O ACTA EN LA CUAL ME DIGAN CUALES SON LOS SUPUESTOS QUE ELLOS INDICAN QUE PUEDEN PROVOCAR PERDIDAS O COSTOS ADICIONALES IMPORTANTES Y QUE ESTAN CUANTIFICADOS Y JUSTIFICADOS. 6)SOLICITO UN DOCUMENTO EN LA CUAL ME INDIQUEN CUALES FUERON LAS PERSONAS DE COMESA QUE AUTORIZARON LA REALIZACION DEL CONTRATO DERIVADO DE LA ADJUDICACION DIRECTA NO. SA-018TQA001-N231-2013 RELATIVO A LA ADQUSICION DE ESTACAS DE MADERA NUMERO DE NO.PEDIDO DE COMPRA PN-2013-027,1,0,0,1,0,0,0
1,Favor de proporcionar toda la documentación relacionada con las acciones que fundamentan y dan aplicación del programa federal llamado CRUZADA NACIONAL CONTRA EL HAMBRE así como los siguientes documentos: Presupuestos autorizados por la cámara de diputados en la sesión de diciembre de 2012 para cada una de las dependencias organismos descentralizados y secretarias federales que participan en el mencionado programa y que van a ser aplicados en el ámbito federal para la nueva política social de este programa. Relación detallada de aplicaciones programadas de estos presupuestos por dependencias organismos descentralizados y secretarias federales; para cada uno de los estados y de los 400 municipios del país seleccionados para su aplicación. Porcentaje e indice de pobreza y su relación con el contexto nacional que tiene cada uno de estos estados y los 400 municipios donde vaya a aplicarse dicho programa. Detallar plan de acciones gubernamentales a ser aplicados por todas y cada una de las dependencias mencionadas involucradas y lograr tener como se menciona en el programa resultados a ser medidos y tangibles dentro del primer año de su aplicación. Agradezco su atención.,1,1,0,0,0,0,0
2,En archivo electronico favor de aportar completos los siguientes documentos normativos institucionales: 1.- Documento clave 2300-31-010-0002 MANUAL DE PROCEDIMIENTOS PARA LA REALIZACION PLANEACION Y CONTROL DE LAS ACTIVIDADES DE LAS DIVISIONES DE SALUD EN EL TRABAJO. Fecha de emision 05/06/98 Fecha de actualizacion 20/06/2000. Asi mismo indicar si esta vigente o no. Si ya no esta vigente favor de indicar desde que fecha deja de estar vigente que documento lo deroga y que documento lo sustituye. 2.- Documento clave CT011-09-135-61-2300-A001 PROCEDIMIENTO PARA LA REALIZACION DE ACTIVIDADES SUSTANTIVAS Y DE APOYO Fecha de emision Junio de 98 Fecha de actualizacion Junio del 2000. Asi mismo indicar si esta vigente o no. Si ya no esta vigente favor de indicar desde que fecha deja de estar vigente que documento lo deroga y que documento lo sustituye. Gracias. Direccion de Organizacion y Calidad del IMSS area normativa de autorizaciones y/o control de Organizacion y Calidad manuales y procedimientos para uso institucional.,1,0,0,0,0,0,0
3,Con fundamento en lo previsto en los Artículos 4 7 (párrafo ultimo) 9 13 17 18 19 40 (párrafo ultimo) 43 y 63 (inciso VI) de la Ley General de Transparencia y acceso a la información Pública Gubernamental y con fundamento en el título segundo de la misma donde se aclara a la ciudadanía las responsabilidades de las unidades de enlace y considerando que en los términos del Capítulo III la presente solicitud no está abarcando ninguna información confidencial y la información debe de entregarse en los tiempos establecidos en el artículo 44 se expide la presente solicitud. Favor de indicar la Compra Real de las claves de los Consumibles de Equipo Médico y Material de Curación del HOSPITAL DE LA MUJER de las claves que en archivo anexo se indica: En el periodo de ENERO A OCTUBRE DEL 2012 (Mensualizado). Datos requeridos de los Consumibles de Equipo Médico y Material de Curación: Descripción completa y clara de la clave de los Consumibles de Equipo Médico y Material de Curación Número de piezas compradas por Clave Precio por pieza Importe Proveedor que vendió el Consumibles de Equipo Médico y/o Material de Curación Tipo de Compra Número de Licitación Adjudicación Directa Invitación Restringida según corresponda Número de Contrato o Factura Almacén o Unidad Médica (Hospital Clínica o Consultorio). Por favor NO referenciar a COMPRANET; la presente solicitud no es sobre información de Licitaciones sino de la Compra Real de las claves mencionadas en el archivo anexo del HOSPITAL DE LA MUJER en el periodo de ENERO A OCTUBRE DEL 2012 (Mensualizado). Incluir solo información de la descripción completa y clara de la clave de los Consumibles de Equipo Médico y Material de Curación Número de piezas compradas por Clave Precio por pieza Importe Proveedor que vendió el Consumibles de Equipo Médico y/o Material de Curación Tipo de Compra Número de Licitación Adjudicación Directa Invitación Restringida según corresponda Número de Contrato o Factura Almacén o Unidad Médica (Hospital Clínica o Consultorio). Favor de mandar la información en Hoja de Cálculo (Excel) Gracias,0,0,0,1,0,0,0
4,¿De que manera la Secretaría de Marina da a conocer la existencia de vacantes? ¿Cuántas y que vacantes ha solicitado ocupar la Secretaría de Marina en toda la República Mexicana en un periodo que abarca del mes de enero de 2009 a la fecha de esta solicitud? ¿Cuántas de las vacantes solicitadas de enero de 2009 a la fecha de esta solicitud fueron ocupadas? ¿Cuántas de esas vacantes cuales y en que sectores navales de la República fueron ocupadas por personas que contaban con un Título Universitario? Mencionar cuantas personas han solicitad ingresar a la Secretaría de Marina en los sectores navales de Isla Mujeres en el estado de Quintana Roo y en Tuxpan Veracruz señalar cuantos han sido mujeres y cuantos hombres.,0,0,0,0,1,0,0
5,Se solicita información que detalle las resoluciones que emite el Pleno para el año 2009. Se solicita que la información contenga: 1) cantidad de resoluciones con instrucción emitidas por el IFAI; 2) nombre de la dependencia sujeto a la resolución; 3) Resoluciones de Pleno; 4) Naturaleza de las instrucciones y fecha límite para su cumplimiento; 5) En caso de contar con ellos los detalles sobre la información proporcionada por la dependencia en cumplimiento a la resolución. Gracias. La información entregada debería ser adecuada para actualizar el documento de excel entregado como respuesta a la petición de información número 0673800026809 al IFAI,1,0,0,0,0,0,0
6,SOLICITO CONOCES LA APLICACION DE LOS BIENES COMPRADOS DIRECTAMENTE POR LA ESCUELA JUAN ESCUTIA CCT 09DPR1936A EN EL MES DE DICIEMBRE DE 2012 ES DECIR COMO SES SUMINISTRO AL USUARIO FINAL Y QUIEN FUE ESE USUARIO CUAL ES EL BALANCE MENSUAL DE GASTO. CUAL ES EL RESTANTE AL MES DE AGOSTO DE 2013. A TRAVES DEL OFICIO AFSEDF/DGIFA/1590/2012 SE LE AUTORIZO EL GASTO DE $706 748.00 PESOS MISMOS QUE ENTREGO FACTURAS.,0,1,0,0,0,0,0
7,Deseo conocer el fundamento legal por el que esta dependencia no puede obligar a una escuela particular a inscribir a un niño en cualquier grado de educación primaria y permiten a dicha institución negarle la inscripción a un menor. también se podría consultar en la DIEPPE adscrita a la administración federal,1,0,0,0,0,0,1
8,¿numero de denuncias populares inciadas durante el año 2009? ¿cuantas denuncias populares iniciadas en el año 2009 terminaron con la imposicion de una sancion? ¿de las denuncias populares iniciadas en el año 2009 que terminaron en una sancion en cuantas de ellas se promovio un juicio contensioso administrativo o se amparo el demandado? ¿a cuanto ascendio el monto recaudado por la imposicion de sanciones en su modalidad de multas administrativas durante el año 2009 originados por una denuncia popular? ¿que destino tubieron los ingresos recaudados de las multas por infracciones generadas por las denuncias populares iniciadas en el año 2009? ¿en cuantas denuncias populares inicadas durante el año 2009 se ordeno la reparacion del daño? ¿en cuantas de la denuncias populares iniciadas durante el año 2009 se derivaron procedimientos penales? ¿de las sanciones administrativas impuestas durante el año 2009 originadas por una denuncia popular cuantas fueron: a) multas b) clausuras c) arrestos d) decomisos e) suspension o revocacion de conseciones licencias permisos o autorizaciones? ¿de las denuncias populares iniciadas durante el año 2009 en cuantas y de que forma participaron instituciones y centros de investigacion en la elaboracion de dictamenes o peritajes a los que alude el articulo 194 de la LGEEPA? denuncias Populares en materia ambiental .. presentadas ante la PROFEPA en todo el pais,1,0,1,0,0,0,0
9,RELACION CON TODOS LOS NOMBRES Y CARGOS (INCLUIR DEPENDENDECNIA O ENTIDAD DE LA APF A LA QUE PERTENECEN) DE LOS FUNCIONARIOS QUE ASISTIERON A RENDIR EL INFORME DEL MECANISMO DE EXAMEN PERIODICO UNIVERSAL DEL CONSEJO DE DERECHOS HUMANOS DE LA ONU Y A LA REUNION DE ALTO NIVEL MEXICO-PERU. Boletín No.015-10/02/2009.- Sustenta México Examen ante el Consejo de Derechos Humanos de la ONU.- Concluye reunión de Alto Nivel México-Perú. Martes 10 de http://www.segob.gob.mx/Portal/PtMain.php?pagina=salaprensa&articulo=1386 Febrero de 2009.- Comunicado 30.- Ciudad de México http://www.sre.gob.mx/csocial/contenido/comunicados/2009/feb/cp_030.html,1,0,0,0,1,0,0
10,HORARIOS DE TRABAJO Y PRESTACIONES QUE PERCIBE UN NIVEL DE ENLACE Y UN JEFE DE DEPARTAMENTO QUE HAN OBTENIDO SU PLAZA A TRAVES DEL SERVICIO PROFESIONAL DE CARRERA (CONCURSO) CON FUNDAMENTO.,0,0,0,0,1,0,0
11,Solicito información estadística de afluencia de visitantes y variación de precios de acceso al Complejo Turístico Cultural Cumbre Tajín ubicado en Papantla Veracruz desde el año de su inicio hasta el 2006 así como los servicios que se ofrecen dentro del complejo,0,0,1,0,0,0,0
12,¿CUAL ES LA FUNCION DE ESTA ORGANIZACION? ¿QUIEN ES EL ENCARGADO? ¿CUANTO DINERO DESIGNA EL GOBIERNO PARA ESTA?,1,1,0,0,1,0,0
13,El pasado 28 de enero de 2009 el Comité Consultivo de Normalización de Prevención y Control de Enfermedades de la Secretaría de Salud federal fue llamado a una sesión para hacer modificaciones al Proyecto de Norma Oficial Mexicana 046 NOM-046-SSA2-2005. Violencia familiar sexual y contra las mujeres. Criterios para la prevención y atención misma que ya había sido modificada y aprobada por mayoría el 21 de julio de 2008. ¿Qué reglamento o ley permite este procedimiento para modificar un proyecto de Norma previamente aprobado por la misma instancia y que estaba en espera de su publicación?,1,0,0,0,0,0,0
14,SOLICITO EL PROYECTO CS-09-AF-026-11 POR MEDIO ELECTRONICO CENTRO MULTIDICIPLINARIO,1,0,0,0,0,0,0
16,requiero el nombre de la escuelas su domicilio su telefono de las escuelas que seran sedes para realizar el examen de la comipems este año del 2011,1,0,0,0,0,0,0
17,Copia simple de mis constancias de percepciones y retenciones asi como los descuentos realizados por concepto del descuento hipotecario del FOVISSSTE. Adjunto mi constancia de nombramiento programa especial de retiro o jubilación y comprobante de nomina donde se me hacian los descuentos del FOVISSSTE (concepto 56),0,0,0,0,1,0,0
21,Solicito a la Secretaría de Desarrollo Social la información documental que consigne y/o evidencie en que se baso esta secretaría para en la adjudicación directa 00020043-0056-08 adjudicarle un contrato al proveedor ESPECIALIDADES COMERCIALES REYES S.A. DE C.V. sin importar que dicho proveedor se encontraba inhabilitado e imposibilitado de participar en procedimientos de contratación y de celebrar contratos con las dependencias y las entidades de la administración pública federal. Anexo a mi solicitud ficha de inhabilitación en la cual se aprecia que al 15 de Agosto de 2008 el proveedor mencionado se encontraba inhabilitado debido a que el juicio de amparo mediante el cual se le había otorgado la suspensión a la inhabilitación se sobreseyó el 11 de Abril de 2008 quedando así sin efectos dicha suspensión. También en la ficha anexa se puede apreciar que en lo que al juicio de nulidad se refiere el 5 de Junio de 2008 se le negó al proveedor en cuestión la suspensión de la ejecución de las sanciones impuestas. A ESPECIALIDADES COMERCIALES REYES S.A. DE C.V. se le adjudicó en la adjudicación directa 00020043-0056-08 el contrato No. 08-20-067-DGRM. Es por eso que solicito el oficio el escrito el correo electrónico la consulta al órgano Interno de control el fax o cualquier otro documento que constate en que se basaron para adjudicarle a dicho proveedor un contrato sin importar que se encontraba inhabilitado. Gracias.,0,0,0,1,0,0,0
22,SOLICITO AL HOSPITAL DE GINECO PEDIATRÍA No. 48 DE LEÓN GUANAJUATO LOS DOCUMENTOS QUE EVIDENCIEN QUE EN DICHO HOSPITAL FUERON RESCINDIDOS LOS DIVERSOS CONTRATOS QUE FUERON AFECTADOS POR EL ACTO DE REPOSICIÓN DE FALLO CELEBRADO EL 26 DE MARZO DE 2010 PARA LA LICITACIÓN PÚBLICA NACIONAL No. 00641322-065-09 ANEXO EL ACTA DEL CITADO FALLO,0,0,0,1,0,0,0
23,El directorio de las Asociaciones Religiosas registradas ante la DGAR de la SEGOB por Entidad Fdederativa pero que contenga explíscitamente el credo o confesion a el o a la que pertenecen. porque en la información que se muestra en internet solo aparecen los nombres pero no la adscripción confesional El directorio de las el Directorio de los Ministros de Culto registrados ante la DGAR de la SEGOB por Entidad Fdederativa pero que contenga explíscitamente el credo o confesion a el o a la que pertenecen porque en la información que se muestra en internet solo aparecen los nombres pero no la adscripción confesional,1,0,1,0,0,0,0
24,Solicito conocer todas las reformas que se realizaron durante el 2010 y que fueron publicadas en el Diario Oficial de la Federación cuyo corte temático es la libertyad religiosa en México.,1,0,0,0,0,0,0
25,como esta integrado el presupuesto que aprueban los diputados,1,1,0,0,0,0,0
26,SOLICITUD DEL NUMERO DE EMPLEADOS PERTENECIENTES A LA SEGOB MENCIONANDO EL NOMBRE DE LA SUBSECRETARIA Y ORGANOS DESCONCENTRADO DEL CUAL FORMA PARTE Y CLASIFICACION DE LOS MISMOS POR GRADO DE ESTUDIOS. GRADO MAXIMO DE ESTUDIOS IDIOMAS QUE HABLAN (SOBRETODO EN EL INAMI) RUBLOS POR EDADES PUBLICACIONES REALIZADAS POR LOS EMPLEADOS SALARIOS DE LOS EMPLEADOS CON NIVEL DE ESTUDIOS SUPERIOR Y POSGRADO (ESPECIALIDAD MAESTRIA O DOCTORADO) Y SU PUESTO.,0,0,0,0,1,0,0
27,Se me informe de todos los Convenios que se hayan suscrito entre la Federación y el Gobierno del Estado de Morelos desde el 2006 a la fecha.,1,0,0,0,0,0,1
28,información y documentos relacionados con las gestiones de la SRE para hallar la aeronave con siglas XB-KMP que desapareción cuando cruzaba cielo colombiano. documentación relativa al intercambio de información con guatemala y colombia,1,0,0,0,0,0,0
29,La suscrita estudiante de la Licenciatura en Relaciones Internacionales cursando actualmente la asignatura de Seminario de Trabajo de Investigación en la Universidad de Durango campus Los Mochis se dirige a ustedes para solicitar lo siguiente: A) Cifra de extranjeros naturalizados desglosada por anualidad a partir del año 2007. B) Se me haga saber ¿De qué forma demuestra el interesado a naturalizarse conocer de la Historia de México? C) ¿Cuántos solicitantes desglosado por anualidad no aprobaron conocer la Historia de México?,1,0,0,0,0,0,1
30,Requerimos de cualquier documento donde se encuentren los acuerdos y/o protocolos y/o procedimientos para la realización de consulta (s) en relación a la instalación de parques eólicos de la primera y segunda temporada abierta para la transmisión de energía eléctrica en la región del Istmo de Tehuantepec.,1,0,0,0,0,0,0
31,Procedimiento para realizar el trámite Solicitud de refugiado por Razones Humanitarias,1,0,0,0,0,0,0
32,Quiero saber si existe un fondo federal asignado para personas incapacitadas que no tienen derecho al seguro social si el Estado de Quintana Roo lo recibe y donde puedo preguntar esa información.,1,1,0,0,0,0,0
33,solicito copia simple del tabulador salarial autorizado para los servidores publicos adscritos a esa H. Secretaria de Haciendoa y Crédito Público para el año 1996,0,0,0,0,1,0,0
34,solicito copia de minutas en los que aparezcan los nombres de los servidores publicos de la SEDENA que participaron con funcionarios de la SRE en los trabajos previos para la Firma y Ratificacion de la Corte Penal Internacional.,1,0,0,0,0,0,0
35,Requiero que se me informe que Secretarias de Estado Dependencias y Entidades del Gobierno Federal presentaron Sub-ejercicio y por que montos si fue en tiempo el reintegro a la TESOFE y si pagaron alguna penalización y a cuento hacienden esto por el ejercicio 2013.,1,0,1,0,0,0,0
36,Agradeceré me proporcionen el valor en libros y el valor contable y el valor actualizado todos en pesos moneda nacional del bono número 61843 Serie 2 Letra D del empréstito denominado Deuda Pública Agraria emitido por los Estados Unidos Mexicanos con fecha del 11 de julio de 1928.,0,0,0,0,0,1,0
37,¿Cuanto es el presupuesto asignado a escuelas primarias y secundarias en el año 2005 y de este el presupuesto asignado para actividades extraoficiales como eventos culturales conferencias coloquios etcetera..? Desglosar los gastos,1,0,0,0,0,0,0
38,Solicito copia de todas las facturas que amparan la contratación de publicidad de la Secretaría de enero de 2009 a la fecha,0,0,0,1,0,0,0
39,solicito informacion,1,0,0,0,0,0,0
41,se anexa cuestionario,1,0,1,0,1,0,0
43,en archivo anexo,1,0,0,0,0,0,1
44,Anexo documento para su lectura,0,1,0,0,0,0,0
45,DOF EN MATERI DE COMERCIO EXTERIOR,1,0,0,0,0,0,0
46,numero y nomenglatura de este fideicomiso,0,0,0,0,1,0,0
47,Presentó la solicitud de información en archivo adjunto.,1,1,0,0,0,0,0
48,cuanto es el oresupuesto anual del programa oportunidades,0,1,0,0,0,0,0
49,La solicitud se anexa en archivo de WORD,0,0,0,1,0,0,0
50,Solicito el número de plazas por puesto en la dependencia.,0,0,0,0,1,0,0
51,Regulaciones de seguridad y contruccion de botes y embarcaciones menores,1,0,0,0,0,0,1
52,Días de asueto para los trabajadores del IFAI en el 2006,0,0,0,0,1,0,0
53,Multas aplicadas a Petróleos Mexicanos en lo qeu va del año,1,0,1,0,0,0,0
54,Porcentaje de exportaciones e importaciones a nivel nacional de 2000 a 2010,1,0,1,0,0,0,0
55,Organigrama actual de las delegaciones enlos esrdos de Jalisco y Nuevo Leon,0,0,0,0,1,0,0
56,Cuál es el presupuesto que solicita canal 11 para el año 2012,0,1,0,0,0,0,0
57,¿CUÁLES SON LAS ESTACIONES DE RADIO AM MÁS ESCUCHAS A NIVEL NACIONAL?,1,0,1,0,0,0,0
58,Nombre y curriculum del Representante de la SRA en el Estado de Sonora,0,0,0,0,1,0,0
59,Solicito información sobre cuanto se gasta en la educación pública en elDistrito Federal,0,1,0,0,0,0,0
60,¿aproximadamente cuanta inversion se mete para mantener establecida la casa de la moneda',0,1,0,0,0,0,0
61,que presupuesto se asigno en el 2010 para las personas discapacitadas en torneos olimpicos,0,1,0,0,0,0,0
62,Copia del Expediente Médico del Hospital Fernando Quiroz perteneciente al ISSSTE de la que suscribe,1,0,0,0,0,0,0
63,Solicito a ese H. Instituto me envíe vía correo electrónico el título de patente 242535,1,0,0,0,0,0,0
64,Se solicita información del cargo que el C. Esteban Emmanuel Espiritu Álvarez ocupaba u ocupa a partir del 2010 a la fecha con la descripción del mismo así como el tabulador nivel salarial y salario.,0,0,0,0,1,0,0
65,Solicito una copia del vídeo La gran fuerza de México . Donde se presentan diversas operaciones del ejército y mencionan nombres de personas al azar.,1,0,0,0,0,1,0
66,Historico de los importes recaudados por impuestos federales en los ultimos añols ISR IVA IETU IDE IEPS,1,0,1,0,0,0,0
67,reglas para el otorgamiento de creditos para vivienda a los trabajadores derechohabientes del issste vigentes en 1999,1,0,0,0,0,0,0
68,Cifra de la Balanza de Pagos Tecnológica de México anual del periodo de 1980 a 2011,1,0,1,0,0,0,0
69,contrato de cesion parcial de dere dechos de la empresa Reparaciones Navales del Istmo S.A. de. C.V.,0,0,0,1,0,0,0
70,SOLICITO LISTA DE CONTRATOS VIGENTES DE LA DEPENDENCIA ASI COMO SU FECHA DE VENCIMIENTO TECNOLOGIAS DE LA INFORMACION,0,0,0,1,0,0,0
71,Quisiera saber cuántas averiguaciones previas inicio la PGR en el Estado de Coahuila en el año de 2010,1,0,1,0,0,0,0
