source_id,source_split,source_row_in_split,source_policy_area_num,source_policy_area_raw,source_ntoken,text,gt_policy_area
train_1,train,1,11,Security,21,２．世界で最も平和で安全な国であるための安全保障体制の整備と維持,Security
train_2,train,2,10,No policy area,7,一生懸命 が報われる日本をつくる,No Policy Area
train_3,train,3,10,No policy area,6,安全で安心して暮らせる国,No Policy Area
train_4,train,4,10,No policy area,8,石崎岳ならできる地域の活力づくり,No Policy Area
train_5,train,5,10,No policy area,20,生活水準を引き上げながらも、国際競争に勝つ方策こそ政治の目指すべき選択です,No Policy Area
train_6,train,6,10,No policy area,23,浜田靖一は、ふるさとの皆様の生活に少しでもゆとりが生じるように全力を尽くします,No Policy Area
train_7,train,7,10,No policy area,3,豊かな経験,No Policy Area
train_8,train,8,9,"Land, Infrastructure, Transport, and Tourism",13,物流、交通網を整備し災害時の緊急経路の確保,"Land, Infrastructure, Transport, and Tourism"
train_9,train,9,3,"Education, Culture, Sports, Science, and Technology",4,（４）文化,"Education, Culture, Sports, Science, and Technology"
train_10,train,10,10,No policy area,7,「国民と政治をつなぐ」,No Policy Area
train_11,train,11,10,No policy area,8,地域の発展基盤を整備します,No Policy Area
train_12,train,12,10,No policy area,7,安倍政権の発足から2年,No Policy Area
train_13,train,13,10,No policy area,11,財産を守る強靭な街づくりを進めます,No Policy Area
train_14,train,14,3,"Education, Culture, Sports, Science, and Technology",7,教育を変えるため憲法を見直す,"Education, Culture, Sports, Science, and Technology"
train_15,train,15,7,"Health, Labour, and Welfare",22,待機児童、病児保育、学童保育等への対策により、切れ目のない家族支援を実現,"Health, Labour, and Welfare"
train_16,train,16,5,Financial Affairs,6,%財務副大臣2期,Financial Affairs
train_17,train,17,10,No policy area,6,%千葉市立緑町中学校卒業,No Policy Area
train_18,train,18,5,Financial Affairs,7,しごと」を創出します,Financial Affairs
train_19,train,19,1,Committees on Cabinet,11,警察官の増員等、防犯体制基盤の強化‡,Committees on Cabinet
train_20,train,20,8,Internal Affairs and Communications,12,郵政民営化は、郵便局を無くすのではありません,Internal Affairs and Communications
train_21,train,21,1,Committees on Cabinet,10,お年寄りの知恵と経験は国の財産,Committees on Cabinet
train_22,train,22,10,No policy area,11,パワーアップした小泉内閣、ニュー自民党が誕生しました,No Policy Area
train_23,train,23,8,Internal Affairs and Communications,19,郵政民営化の実現と教育改革を断行し、活力ある日本を創造します,Internal Affairs and Communications
train_24,train,24,10,No policy area,24,県議会議員として十数年水戸で仕事をしており、水戸地域も県西地域も私の地元です,No Policy Area
train_25,train,25,10,No policy area,16,%人生の恩師となる内田健三先生[共同通信出身の政治評論家,No Policy Area
train_26,train,26,1,Committees on Cabinet,32,防災公園、避難路、共同溝の整備、ライフラインの耐震性向上など、「備えあれば憂いなし」のまちづくりを目指します,Committees on Cabinet
train_27,train,27,8,Internal Affairs and Communications,40,この法律は、自治体が農業、漁業、観光など地域の特性に応じた地域再生計画を国に申請し、認められた計画に対して交付金を渡す制度です,Internal Affairs and Communications
train_28,train,28,10,No policy area,11,是非皆さまの思いをお聞かせください,No Policy Area
train_29,train,29,0,"Agriculture, Forestry, and Fisheries",9,（１）TPPに断固反対します,"Agriculture, Forestry, and Fisheries"
train_30,train,30,10,No policy area,7,^茨木市長木本保平,No Policy Area
train_31,train,31,0,"Agriculture, Forestry, and Fisheries",11,担い手育成、リンゴの経営安定化、TPP反対,"Agriculture, Forestry, and Fisheries"
train_32,train,32,6,Foreign Affairs,19,日米同盟を深化させて抑止力を向上し、法と正義による外交,Foreign Affairs
train_33,train,33,10,No policy area,13,＃2005千葉県第６区ﾜﾀﾅﾍﾞﾋﾛﾐﾁ渡辺ひろみち,No Policy Area
train_34,train,34,10,No policy area,24,」を明記して、時代に合った新憲法を創るために、国民的論議が必要です,No Policy Area
train_35,train,35,3,"Education, Culture, Sports, Science, and Technology",19,%野球のWBCチームドクターほか、ソフトボール、体操、レスリングなど世界大会に数多く帯同,"Education, Culture, Sports, Science, and Technology"
train_36,train,36,10,No policy area,8,「命の道」の早期実現,No Policy Area
train_37,train,37,10,No policy area,48,激動する国際間の諸問題、一日も早い景気の浮揚対策、その他、政治、経済の両輪が噛み合い安定した、安心できる国、地域社会を早急に確立するよう誠心誠意努力致します,No Policy Area
train_38,train,38,10,No policy area,17,小泉進次郎の三度目の挑戦に力強いご支援、よろしくお願いします,No Policy Area
train_39,train,39,10,No policy area,7,^豊中市長淺利敬一郎,No Policy Area
train_40,train,40,10,No policy area,5,石破しげるの基本政策,No Policy Area
train_41,train,41,10,No policy area,19,万一の場合の備えを更に強化し、安心･安全の社会を構築します,No Policy Area
train_42,train,42,10,No policy area,4,山本公一の活動,No Policy Area
train_43,train,43,2,"Economy, Trade and Industry",15,中小企業の業況、資金繰りは政権交代前の状況から大きく改善,"Economy, Trade and Industry"
train_44,train,44,10,No policy area,24,せっかく明るい兆しが見え始めたそれぞれの地域課題解決のため、与党の代議士を選出してください,No Policy Area
train_45,train,45,0,"Agriculture, Forestry, and Fisheries",16,(3)第一次産業の発展なくして地方振興は望めぬ,"Agriculture, Forestry, and Fisheries"
train_46,train,46,8,Internal Affairs and Communications,3,郵政民営化,Internal Affairs and Communications
train_47,train,47,10,No policy area,10,%第40回衆議院議員選挙初当選,No Policy Area
train_48,train,48,2,"Economy, Trade and Industry",11,バイオマス発電など再生可能エネルギーの飛躍的加速,"Economy, Trade and Industry"
train_49,train,49,5,Financial Affairs,37,硬直化した予算体系を改善し、国民の税金を透明かつ公正に使うだけでなく、ＮＰＯ等にも自分の意志で使途できる選択肢を広げます,Financial Affairs
train_50,train,50,7,"Health, Labour, and Welfare",21,所得拡大にむけて着実に歩を進めてきたアベノミクス完全成功への一里塚です,"Health, Labour, and Welfare"
train_51,train,51,10,No policy area,25,私にとっての八王子市は選挙区以前の故郷であり、生活の場であり、政治を志す原点です,No Policy Area
train_52,train,52,4,Environment,8,％◎衆議院環境委員会委員,Environment
train_53,train,53,11,Security,29,しかし政権交代後、著しく失墜したのが日本の外交力であり、国民の安全保障に対する不安が増大しています,Security
train_54,train,54,10,No policy area,9,安心、安全、元気な日本をつくる,No Policy Area
train_55,train,55,2,"Economy, Trade and Industry",14,八戸市地域新エネルギーの導入促進の支援に努めます,"Economy, Trade and Industry"
train_56,train,56,7,"Health, Labour, and Welfare",18,子どもの貧困対策とともに、児童虐待防止や社会的養護の体制を強化する,"Health, Labour, and Welfare"
train_57,train,57,7,"Health, Labour, and Welfare",14,99 確定拠出型年金法案とりまとめ‡企業会計小委員会設置,"Health, Labour, and Welfare"
train_58,train,58,10,No policy area,10,真正自民党の一員としてわかりやすい政治を,No Policy Area
train_59,train,59,9,"Land, Infrastructure, Transport, and Tourism",29,中央線の高架複々線化を加速し、朝の乗車率208%の解消と、東京まで12分短縮をめざします,"Land, Infrastructure, Transport, and Tourism"
train_60,train,60,7,"Health, Labour, and Welfare",9,子育て支援の強化で少子化に歯止めを,"Health, Labour, and Welfare"
train_61,train,61,10,No policy area,24,生活の安定、将来への不安を解消し、希望の持てる未来を示すことも重要な問題です,No Policy Area
train_62,train,62,8,Internal Affairs and Communications,3,地方分権改革,Internal Affairs and Communications
train_63,train,63,10,No policy area,6,自主憲法の制定を目指す,No Policy Area
train_64,train,64,3,"Education, Culture, Sports, Science, and Technology",17,いじめ対策を徹底し、国や教育委員会の責任を明確にします,"Education, Culture, Sports, Science, and Technology"
train_65,train,65,10,No policy area,15,岐阜県の未来、次世代につなぐのはこの道しかありません,No Policy Area
train_66,train,66,2,"Economy, Trade and Industry",11,未来産業としての風力発電、宇宙開発を強化,"Economy, Trade and Industry"
train_67,train,67,7,"Health, Labour, and Welfare",22,％自民党において、青年局次長、厚生労働部会副部会長、水産部会副部会長を務める,"Health, Labour, and Welfare"
train_68,train,68,6,Foreign Affairs,5,友好国との連携強化,Foreign Affairs
train_69,train,69,10,No policy area,3,日本を守る,No Policy Area
train_70,train,70,10,No policy area,4,３つの改革,No Policy Area
train_71,train,71,8,Internal Affairs and Communications,28,地方の切捨てにならないように、税源移譲とのバランスの取れた地方交付税制度の見直しを主張します,Internal Affairs and Communications
train_72,train,72,10,No policy area,4,自主憲法の制定,No Policy Area
train_73,train,73,10,No policy area,3,07%),No Policy Area
train_74,train,74,10,No policy area,11,私は、責任ある政治家として、力一杯働きます,No Policy Area
train_75,train,75,2,"Economy, Trade and Industry",13,燃料電池）、環境事業、新規事業での雇用拡大,"Economy, Trade and Industry"
train_76,train,76,11,Security,11,「日本の安全保障を考える国民会議」創設,Security
train_77,train,77,7,"Health, Labour, and Welfare",9,いよいよ賃金上昇が始まるかが勝負です,"Health, Labour, and Welfare"
train_78,train,78,10,No policy area,3,改革実行を,No Policy Area
train_79,train,79,1,Committees on Cabinet,3,復興と防災,Committees on Cabinet
train_80,train,80,0,"Agriculture, Forestry, and Fisheries",18,エネルギーと食料の安全保障、食の安全に対応した農林水産業の振興,"Agriculture, Forestry, and Fisheries"
train_81,train,81,3,"Education, Culture, Sports, Science, and Technology",11,◎世界で最もイノベーションに適した国を目指す,"Education, Culture, Sports, Science, and Technology"
train_82,train,82,10,No policy area,62,今回の選挙にあたっても、たとえば原子力発電所の再稼働や、農協改革、沖縄の基地負担軽減への協力など、ともすれば大きな批判を受け、票が減ると思われることについても、ごまかすことなく、正直に語り、皆さまの声を聞いてまいります,No Policy Area
train_83,train,83,10,No policy area,31,教育、産業、経済界、そして若者のパワーと経験豊かな高齢者の知恵を出し合って真剣に取り組むべきと考えます,No Policy Area
train_84,train,84,10,No policy area,22,これからは、教育県といわれ、考えることに熱心な長野県の皆さまの知恵が生きる時代です,No Policy Area
train_85,train,85,1,Committees on Cabinet,16,(3)各地からの「地方創生」プランの先行実施を,Committees on Cabinet
train_86,train,86,10,No policy area,3,§ホームページアドレス,No Policy Area
train_87,train,87,1,Committees on Cabinet,48,国家財政の危機的状況の中で、まず非効率な歳出の見直し、財政支出の再検証や行政組織の効率化等の歳出削減を徹底して実施し、成長戦略の効果を見ながら公正,Committees on Cabinet
train_88,train,88,7,"Health, Labour, and Welfare",8,福祉 少子高齢化の下でも年金,"Health, Labour, and Welfare"
train_89,train,89,10,No policy area,6,％平田竹男教授に師事,No Policy Area
train_90,train,90,2,"Economy, Trade and Industry",14,これにより産業を振興し、定住人口を増やします,"Economy, Trade and Industry"
train_91,train,91,8,Internal Affairs and Communications,5,道州制を実現,Internal Affairs and Communications
train_92,train,92,9,"Land, Infrastructure, Transport, and Tourism",40,将来の保険料の負担が過重にならないよう歯止めをかけるとともに、安定した財源を確保し、若年世代を中心とする年金制度への不安解消に努めます,"Land, Infrastructure, Transport, and Tourism"
train_93,train,93,10,No policy area,16,目の前の危機を乗り越えるとともに、未来を切り拓くため、財政,No Policy Area
train_94,train,94,4,Environment,9,環境大臣政務官高橋(たかはし)ひなこ,Environment
train_95,train,95,10,No policy area,7,そのためには国民の「安心,No Policy Area
train_96,train,96,2,"Economy, Trade and Industry",3,ベンチャーの育成,"Economy, Trade and Industry"
train_97,train,97,7,"Health, Labour, and Welfare",8,就業者数は約100万人増加,"Health, Labour, and Welfare"
train_98,train,98,10,No policy area,7,(3)『地域力』,No Policy Area
train_99,train,99,10,No policy area,17,無所属として外から見ていたからこそ分かる自民党の問題点があります,No Policy Area
train_100,train,100,2,"Economy, Trade and Industry",36,地場産業や製造業、一次産業の復活をめざし、金融政策の強化や技術革新、法人税の引き下げ、事業拡大や雇用の確保を進めます,"Economy, Trade and Industry"
train_101,train,101,5,Financial Affairs,9,名目3％以上の経済成長を達成,Financial Affairs
train_102,train,102,8,Internal Affairs and Communications,38,また、郵便制度は現在のサービスを法律で確実に維持しつつ、将来的には地方自治体の代行業務や小売業も担い、街の拠点の「コンビニエンス,Internal Affairs and Communications
train_103,train,103,7,"Health, Labour, and Welfare",15,老後の安定が目に見える社会（お年寄りの生きがいづくり）,"Health, Labour, and Welfare"
train_104,train,104,3,"Education, Culture, Sports, Science, and Technology",11,（６）子供たちの明るい未来のために,"Education, Culture, Sports, Science, and Technology"
train_105,train,105,10,No policy area,5,http://www,No Policy Area
train_106,train,106,10,No policy area,26,戦前まで「日本が歩んできた道」と「これから日本が歩まなければならない道」を,No Policy Area
train_107,train,107,10,No policy area,12,＃2005広島県第５区ﾃﾗﾀﾞﾐﾉﾙてらだ稔,No Policy Area
train_108,train,108,11,Security,37,％党広島五区支部長、党組織局次長、防衛大臣政務官、内閣府副大臣、復興副大臣、党副幹事長、党国対副委員長など歴任,Security
train_109,train,109,7,"Health, Labour, and Welfare",5,がんばるお母さんの子育て支援,"Health, Labour, and Welfare"
train_110,train,110,10,No policy area,3,元気な大隅,No Policy Area
train_111,train,111,8,Internal Affairs and Communications,18,％平成10年郵政大臣/平成20年国務大臣/平成24年党総務会長,Internal Affairs and Communications
train_112,train,112,10,No policy area,5,政策‡基本的スタンス,No Policy Area
train_113,train,113,10,No policy area,14,しんどう義孝に、あなたのお力を託してください,No Policy Area
train_114,train,114,10,No policy area,16,＃2014-23-愛知県-第15区-ﾈﾓﾄﾕｷﾉﾘ-根本幸典,No Policy Area
train_115,train,115,5,Financial Affairs,7,サラリーマン世帯への金利優遇施策,Financial Affairs
train_116,train,116,10,No policy area,15,％文部科学委員会/法務委員会/災害対策特別委員会,No Policy Area
train_117,train,117,1,Committees on Cabinet,12,「災害対策」など危機管理体制を強化します,Committees on Cabinet
train_118,train,118,6,Foreign Affairs,34,日本の持つ技術や資金をカードとして言うべきことを言い、行うべきことを行う真に国益を考えた外交を確立します,Foreign Affairs
train_119,train,119,1,Committees on Cabinet,25,いつ起こるかもわからない地震災害への備えを徹底し、防災に対する国土の強靭化を進めます,Committees on Cabinet
train_120,train,120,7,"Health, Labour, and Welfare",9,（３）出産一時金を増額内定,"Health, Labour, and Welfare"
train_121,train,121,9,"Land, Infrastructure, Transport, and Tourism",6,◎交通ネットワークの整備促進,"Land, Infrastructure, Transport, and Tourism"
train_122,train,122,10,No policy area,4,それが政治です,No Policy Area
train_123,train,123,10,No policy area,15,＃2005京都府第４区ﾅｶｶﾞﾜﾔｽﾋﾛ中川やすひろ,No Policy Area
train_124,train,124,10,No policy area,22,私たちが培ってきた技術力と生産力に自信を持ち、前向きに立ち向かいましょう,No Policy Area
train_125,train,125,11,Security,5,竹島は日本の領土,Security
train_126,train,126,5,Financial Affairs,13,経済再生‡実現力‡働かせてください もう一度,Financial Affairs
train_127,train,127,10,No policy area,10,日本再生、県民力ＵＰに総力を結集,No Policy Area
train_128,train,128,7,"Health, Labour, and Welfare",4,（２）家庭,"Health, Labour, and Welfare"
train_129,train,129,8,Internal Affairs and Communications,5,地方再生の実感へ,Internal Affairs and Communications
train_130,train,130,9,"Land, Infrastructure, Transport, and Tourism",12,▼静岡空港、第二東名の早期開港、早期開通,"Land, Infrastructure, Transport, and Tourism"
train_131,train,131,9,"Land, Infrastructure, Transport, and Tourism",14,地方(宮崎)の暮らし、世域の社会インフラを守る,"Land, Infrastructure, Transport, and Tourism"
train_132,train,132,10,No policy area,5,変革する勇気‡信念,No Policy Area
train_133,train,133,11,Security,15,%平成25年10月衆議院国家安全保障に関する特別委員会委員長,Security
