candidate_id,title,family,source_type,published_political_science_paper,paper_year,replication_access,public_text_access,direct_prompt_or_codebook,novelty_within_family,status,current_priority,source_url,data_url_or_repo,notes
gervais_2025_incivility_or_invalidity,"Incivility or Invalidity? Evaluating Perspective API Scores as a Measure of Political Incivility","Relevance / Incivility",paper,yes,2025,unclear,unclear,likely_yes,medium,conditional,medium,https://doi.org/10.1177/1532673X241309627,,"Paper verified, but replication-file availability and public-text access remain unclear."
twitcivility,"TwitCivility","Relevance / Incivility","dataset / repo",no,,yes,likely_yes,likely_yes,medium,deprioritized,low,https://github.com/Twirtybird/TwitCivility,https://github.com/Twirtybird/TwitCivility,"Useful task fit, but weak on the political-science-paper criterion."
theocharis_2020_dynamics_incivility,"The Dynamics of Political Incivility on Twitter","Relevance / Incivility",paper,yes,2020,yes,yes,yes,medium_to_high,implemented,completed,https://journals.sagepub.com/doi/10.1177/2158244020919447,https://github.com/pablobarbera/incivility-sage-open,"Implemented as `theocharis_dynamics_incivility`. Public replication repo contains training-data.csv with 4,000 rows, columns `uncivil`, `id_str`, `created_at`, and `text`; the live build drops 3 duplicate or conflicting exact-text rows and keeps 3,997 tweets."
griswold_2025_stay_tuned,"Stay Tuned: Improving Sentiment Analysis and Stance Detection Using Large Language Models","Sentiment / Stance / Tone",paper,yes,2025,yes,yes,likely_yes,low_to_medium,deprioritized_family,low,https://www.cambridge.org/core/journals/political-analysis/article/stay-tuned-improving-sentiment-analysis-and-stance-detection-using-large-language-models/B95E9A9A1009934A3F1C6BF50A5F4E34,https://doi.org/10.7910/DVN/KHNBZL,"High-quality candidate, but lower priority because the family is already large."
mmad,"Mass Mobilization in Autocracies Database (MMAD)","Event coding","project / database",no,,yes,no,yes,high,failed_no_public_text,low,https://mmadatabase.org/,https://mmadatabase.org/,"Substantively strong, but the public asset is a coded database rather than a benchmark-ready text corpus."
plover_gold_standard_records,"PLOVER gold-standard records","Event coding","ontology / repo",no,,yes,yes,yes,medium,staged,medium,https://github.com/openeventdata/plover,https://github.com/openeventdata/PLOVER,"Staged as `plover_cameo_event`, an 18-class event-type task from PLOVER_GSR_CAMEO.txt. Usable but small: 312 clean examples after removing conflicts and duplicates."
osnabruegge_2023_cross_domain,"Cross-Domain Topic Classification for Political Texts","Policy-topic coding",paper,yes,2023,yes,yes,yes,high,implemented,completed,https://www.cambridge.org/core/journals/political-analysis/article/crossdomain-topic-classification-for-political-texts/F074564984969CE168BCBCF5E7D931C8,https://doi.org/10.7910/DVN/CHTWUB,"Implemented from the target corpus with the 8-topic specification."
manifesto_project_official_corpus,"Manifesto Project official corpus","Policy-topic coding","project / corpus",no,,yes,yes,yes,medium,deprioritized,low,https://manifesto-project.wzb.eu/,https://manifesto-project.wzb.eu/,"Natural topical fit, but weaker than paper-linked candidates."
munger_2021_dont_at_me,"Don't @ Me: Experimentally Reducing Partisan Incivility on Twitter","Relevance / Incivility",paper,yes,2021,yes,no,possibly,high,failed_no_public_text,low,https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/dont-me-experimentally-reducing-partisan-incivility-on-twitter/CA72D8773AC00916F5A551F80E6C06D3,https://doi.org/10.7910/DVN/OUYTUP,"Replication archive exists, but the public files do not expose raw tweet text."
bestvater_monroe_2023_sentiment_not_stance,"Sentiment Is Not Stance: Target-Aware Opinion Classification for Political Text Analysis","Sentiment / Stance / Tone",paper,yes,2023,yes,yes,likely_yes,high,staged,medium,https://www.cambridge.org/core/journals/political-analysis/article/sentiment-is-not-stance-targetaware-opinion-classification-for-political-text-analysis/743A9DD62DF3F2F448E199BDD1C37C8D,https://doi.org/10.7910/DVN/MUYYG4,"Staged as `bestvater_wm_stance` from the public Women's March ground-truth tweet file. Strong paper-backed target-aware stance candidate, but lower priority because of family imbalance and class imbalance."
wang_2023_topic_classification_pretrained_lms,"Topic Classification for Political Texts with Pretrained Language Models","Policy-topic coding",paper,yes,2023,yes,unclear,likely_yes,medium_to_high,blocked_missing_archive_zip,low,https://www.cambridge.org/core/journals/political-analysis/article/topic-classification-for-political-texts-with-pretrained-language-models/9AA6401CAB1FA3D1EADC7A3D155BB265,https://doi.org/10.7910/DVN/FMT8KR,"Screened 2026-05-06: visible Dataverse files are notebooks and README only. The notebooks reference `data_and_models.zip`, but that zip is absent from the visible file list, so the labeled corpus was not directly ingestible from the archive as inspected."
croicu_weidmann_2015_improving_selection,"Improving the Selection of News Reports for Event Coding Using Ensemble Classification","Event coding",paper,yes,2015,unclear,unclear,probably_yes,high,failed_or_hold,low,https://journals.sagepub.com/doi/10.1177/2053168015615596,,"Would be excellent if labeled texts were public, but accessibility remains unresolved and likely poor."
erlich_2022_multilabel_prediction,"Multi-Label Prediction for Political Text-as-Data","Policy-topic coding adjacent",paper,yes,2022,yes,yes,likely_yes,high,staged,medium,https://www.cambridge.org/core/journals/political-analysis/article/multilabel-prediction-for-political-textasdata/0EC24DBB4E3854EBE0AD247DCB27F828,https://doi.org/10.7910/DVN/SOVPA4,"Staged as `erlich_ati_topics`, a seven-label multi-binary ATI request-topic task from the public Mexican human-coded request file."
rheault_2019_line_of_fire,"Politicians in the Line of Fire: Incivility and the Treatment of Women on Social Media","Relevance / Incivility",paper,yes,2019,yes,yes,yes,high,implemented,completed,https://journals.sagepub.com/doi/10.1177/2053168018816228,https://doi.org/10.7910/DVN/B97TGX,"Implemented from the public US and Canada human-coded training samples."
haunss_2025_papea_forms,"PAPEA: A Modular Pipeline for the Automation of Protest Event Analysis (FGZ forms task)","Event coding",paper,yes,2025,yes,yes,yes,high,implemented,completed,https://doi.org/10.1017/psrm.2025.10013,https://doi.org/10.7910/DVN/KVP7HA,"Implemented as seven-class protest-form classification from the FGZ sentence-level annotations."
kim_2023_violent_political_rhetoric,"Violent political rhetoric on Twitter","Relevance / Incivility adjacent",paper,yes,2023,yes,no,unclear,medium,rejected_no_public_text,low,https://doi.org/10.7910/DVN/NEC17Z,https://doi.org/10.7910/DVN/NEC17Z,"Archive surfaces tweet IDs and aggregates rather than benchmark-ready raw text."
brandt_2025_binary_conflict_classification,"Extractive versus Generative Language Models for Political Conflict Text Classification (binary conflict task)","Relevance / Incivility",paper,yes,2025,yes,yes,yes,high,implemented,completed,https://www.cambridge.org/core/journals/political-analysis/article/extractive-versus-generative-language-models-for-political-conflict-text-classification/B00077A671DF5656043E4BC45B3864A1,https://doi.org/10.7910/DVN/KDO5AM,"Implemented as brandt_political_relevance from raw_bc_data.tab."
yan_bernhard_2024_silenced_text,"The Silenced Text: Field Experiments on Gendered Experiences of Political Participation","Relevance / Incivility adjacent",paper,yes,2024,yes,yes,derived_needed,medium,conditional_backup,medium,https://www.cambridge.org/core/journals/american-political-science-review/article/silenced-text-field-experiments-on-gendered-experiences-of-political-participation/E008099CDD9573F7D8ADB128919EFDC4,https://doi.org/10.7910/DVN/UYKE7T,"Viable only if a derived label from offensiveness or discouragement ratings is acceptable."
douglass_2024_icbe,"Introducing ICBe: an Event Extraction Dataset from Narratives about International Crises","Event coding",paper,yes,2024,yes,yes,yes,high,implemented,completed,https://www.cambridge.org/core/journals/political-science-research-and-methods/article/introducing-icbe-an-event-extraction-dataset-from-narratives-about-international-crises/8CF9BB8C34354129A20925352FB5483B,https://doi.org/10.7910/DVN/MNVUEP,"Implemented in the live manifests as `douglass_icbe_sentence_event_type`. Public files expose 18,783 agreed event rows plus a 12,680-row aligned sentence corpus; the live task keeps a 5-class sentence formulation (`No Event`, `Action`, `Speech`, `Thought`, `Mixed`) and drops only 4 malformed sentence rows."
brandt_2025_gtd_attack_type,"Extractive versus Generative Language Models for Political Conflict Text Classification (GTD attack-type task)","Event coding",paper,yes,2025,yes,yes,yes,medium_to_high,easier_event_fallback,high,https://www.cambridge.org/core/journals/political-analysis/article/extractive-versus-generative-language-models-for-political-conflict-text-classification/B00077A671DF5656043E4BC45B3864A1,https://doi.org/10.7910/DVN/KDO5AM,"Highly practical nine-class event candidate from the same archive family as the implemented Brandt relevance task."
