source_id,text,gold
AAW_ARB_20080930.0037-36,وفي يناير كانون الثاني عام 2006 اطلقت طائرة بدون طيار تابعة لوكالة المخابرات المركزية الاميركية عدة صواريخ على منزل في باجور معتقدة ان الظواهري كان موجودا فيه.,EVENT
AAW_ARB_20070219.0041-7,وقبل يومين، انفجرت سيارة مفخخة لدى مرور حافلة تقل عناصر من الحرس الثوري، موقعة 11 قتيلا و31 جريحا.,EVENT
AAW_ARB_20070506.0021-4,وتبنت الحركة المسؤولية عن عملية تفجير عربة «أورال» في الطريق بين «مقديشو» و«بيدوا» وتدميرها بالكامل وقتل كل من فيها الاثنين الماضي، موضحة أن هذه هي أول عملية من نوعها بعد الانسحاب من المواجه.,EVENT
AAW_ARB_20061117.0010-11,وقد قتل شخصان واصيب خمسة، في انفجار سيارة مفخخة بالقرب من محكمة مدينة الصدر في شارع فلسطين.,EVENT
AAW_ARB_20081231.0006-36,ـ 20: تفجير انتحاري في فندق ماريوت بإسلام أباد، بباكستان، يقتل 60 شخصا على الأقل.,EVENT
AAW_ARB_20070624.0029-7,وفي يناير اكد حلف شمال الاطلسي انه قتل نحو 150 متمردا من طالبان الذين تسللوا من باكستان الى بارمال على بعد بضعة كيلومترات من المنطقة القبلية الباكستانية في وزيرستان.,EVENT
AAW_ARB_20070708.0023-3,وفجر المهاجمون قنابلهم على متن 3 قطارات للمترو وإحدى الحافلات.,EVENT
AAW_ARB_20080907.0042-2,وقال العميد نجم عبد الله قائمقام تلعفر ان «سيارة مفخخة انفجرت وسط سوق شعبية في حي الوحدة وسط البلدة، ما اسفر عن مقتل ستة مدنيين واصابة نحو خمسين اخرين».,EVENT
AAW_ARB_20070324.0016-14,* 8 فبراير (شباط) 2006: نجا وزير التعليم العالي العراقي سامي المظفر، من انفجار سيارة مفخخة عند مرور موكبه في وسط بغداد.,EVENT
AAW_ARB_20070602.0033-10,وقال النقيب محمد جاسم من شرطة كركوك إن «جنديا عراقيا قتل وأصيب آخر بجروح في هجوم مسلح استهدف دوريتهما عند قرية العباسي (75 كلم غرب كركوك)».,EVENT
AAW_ARB_20070913.0012-8,وكان مسؤول في البنتاغون قد قال أول من أمس، إن إسرائيل نفذت بالفعل ضربة جوية في سورية بعد منتصف ليلة الاربعاء من الاسبوع الماضي هي الاولى من نوعها منذ العام 2003.,EVENT
AAW_ARB_20070328.0033-18,وفي الموصل (370 كلم شمال بغداد)، اعلن الرائد محمد احمد من الشرطة أن «مسلحين مجهولين اغتالوا ضابطا في الشرطة في الحي الصناعي (غرب)، فيما قتل أحد عناصر الشرطة في هجوم مماثل في حي سومر (جنوب)».,EVENT
AAW_ARB_20070530.0005-2,وأعلنت الشرطة أن أمجد وهبة، المدير الإقليمي لـ«الشركة الجزائرية المصرية للتجارة والتصنيع»، خطف في وسط مدينة تيزي وزو (110 كلم شرق العاصمة) من قبل أربعة مسلحين، كانوا يحملون أسلحة رشاشة ويرتدون صدريات مكتوب عليها «الأمن الوطني» استولوا عليها في كمائن نصبت لرجال الأمن في المنطقة.,EVENT
AAW_ARB_20070104.0071-9,ومنذ عمليات الخطف الاخيرة في السابع من ديسمبر فجرت الجبهة ثلاث سيارات ملغومة في المدينة الرئيسية بالدلتا وهي بورت هاركورت مما دفع شركتي شل وتوتال العملاقتين للنفط الى سحب المئات من أقارب العاملين الاجانب.,EVENT
AAW_ARB_20070625.0052-14,وكان الاحد الماضي شهد حادثا امنيا تمثل باطلاق صواريخ كاتيوشا من جنوب لبنان على مستوطنة كريات شمونة.,EVENT
AAW_ARB_20070812.0017-16,وكانت حركة طالبان قد خطفت 23 من الكوريين الجنوبيين وغالبيتهم من النساء في 19 يوليو (تموز) الماضي بينما كانوا يسافرون على متن حافلة من كابل الى قندهار، ثم قتلت اثنين منهم.,EVENT
AAW_ARB_20081208.0020-16,وأوضح البيان أن احد عناصر القوات العراقية قتل وجرح سبعة آخرون في إطار هذه العمليات العسكرية.,EVENT
AAW_ARB_20070814.0060-1,إسلام آباد ـ رويترز: قال مسؤولون إن قوات الأمن الباكستانية قتلت ثلاثة متشددين موالين لحركة طالبان الافغانية، امس، في منطقة قبلية قرب الحدود الافغانية، حيث تحاول القوات إنقاذ 16 جنديا خطفوا الاسبوع الماضي.,EVENT
AAW_ARB_20080814.0030-2,وقال النقيب حسن الجبوري من شرطة كركوك ان «انتحاريا يقود سيارة مفخخة، فجر نفسه قرب موكب الشيخ عبد الكريم نصيف الجبوري، قائد صحوة الملتقى (30 كلم غرب كركوك) ما اسفر عن اصابته بجروح، مع خمسة من افراد حمايته».,EVENT
AAW_ARB_20070427.0013-4,وأفاد شهود عيان بأن «اشتباكات مماثلة شهدتها منطقة المعقل، بعد ان فتح مسلحون أسلحتهم الرشاشة وقاذفات الـ«آر بي جي 7» على مقر مقر حزب ثار الله، الذي يتزعمه يوسف الموسوي، احد أقطاب المعارضة للمحافظ، مشيرين إلى إصابة اثنين من حراس مبنى حسينية ثار الله الواقعة في منطقة (النواب ضباط)، التي تعرضت هي الأخرى لهجوم آخر، حيث القى مسلحون مجهولون قنبلة يدوية عليهم، ولاذوا بالفرار.,EVENT
AAW_ARB_20070417.0052-20,من ناحية أخرى قال حلف شمال الاطلسي في أفغانستان انه قتل عددا من زعماء طالبان في هجمات بما في ذلك ضربات جوية دقيقة في اقليم هلمند بجنوب البلاد على مدى الايام الماضية.,EVENT
AAW_ARB_20080417.0011-6,وأكد المركز، في تقرير أصدره أمس عن أحداث الشغب، أن مشاهدات فريق المركز الذي قام بزيارة إلى المركزين، والإفادات، تشير الى أن النزلاء في هذا السجن تعرضوا للضرب المبرح وسوء المعاملة من قبل قوات الدرك ومرتب السجن حتى بعد انتهاء الأحداث، وحتى اثناء وخلال زيارة فريق المركز إلى مركزي «سواقة» و«الموقر».,EVENT
AAW_ARB_20080119.0055-9,والثلاثاء اصيب 37 شخصا بجروح حين انفجرت قنبلة في سوق في ولاية يالا المجاورة.,EVENT
AAW_ARB_20070215.0029-29,وقامت الجماعة في ديسمبر (كانون الأول) 2005 بخطف تسعة جنود قرب الحدود مع باكستان، وأفرجت في ما بعد عن ثمانية منهم وقتلت التاسع.,EVENT
AAW_ARB_20061106.0064-17,وقالوا ان الجيش نجح في قتل العشرات من المسلحين الفلسطينيين ذوي العلاقة في صنع وإطلاق صواريخ القسام، وصادروا كميات كبيرة من الأسلحة والمواد التفجيرية.,EVENT
