source_id,source_event_text,text,gt_event_type
PLOVER-GSR01-AGREE-0001,agreed cooperate,Senior Hungarian and Romanian officials agreed on Wednesday that their countries should cooperate to encourage Romanian refugees in Hungary to return home.,AGREE
PLOVER-GSR01-AGREE-0002,agreed set up research center,"The Asia-Pacific Economic Cooperation (APEC) forum has agreed to set up an energy research center in Tokyo to further develop its regional energy projections, officials said Thursday.",AGREE
PLOVER-GSR01-AGREE-0003,agreed free-trade,"The United States and Jordan have agreed upon a new free-trade pact between the two countries, the White House announced Tuesday.",AGREE
PLOVER-GSR01-AGREE-0004,agreed joint military exercises,"Jordan and Britain have agreed to undertake joint military exercises this month, a Jordanian official confirmed.",AGREE
PLOVER-GSR01-AGREE-0005,offered to hand over suspected,"Libya has offered to hand over to Great Britain two of its nationals suspected by the West of blowing up a Pan Am plane in 1988, a state-owned Egyptian newspaper said.",AGREE
PLOVER-GSR01-AGREE-0006,reached consensus to exchange information,"Israel and the Palestinians reached a consensus to exchange information on water resources on the second day of a multilateral conference on water problems in the Middle East here Thursday, the meeting's co-chairman said.",AGREE
PLOVER-GSR01-AGREE-0007,agreed share information,"The Turkish and Greek sides of the divided Mediterranean island of Cyprus have agreed to share information Friday on missing people from both communities, a UN official said on Monday.",AGREE
PLOVER-GSR01-AGREE-0008,will support efforts,"Portugal will support Turkey's efforts to become a full member of the European Community, Portuguese President Mario Soares said on Tuesday.",AGREE
PLOVER-GSR01-AGREE-0009,will support resolution,Hungary has said it will support a U.N. Security Council resolution that aims to tighten sanctions and impose a naval blockade against neighboring Serbia.,AGREE
PLOVER-GSR01-AGREE-0010,is willing to send material,"NATO-member Norway is willing to send material to help defend Saudi Arabia if it is attacked, Norway's foreign minister said.",AGREE
PLOVER-GSR01-AGREE-0011,will give grant,"Finland will give Tanzania a grant of 580 million shillings (64.45 million dollars) over the next three years to finance several projects in the country, a statement issued by the ministry of finance said today.",AGREE
PLOVER-GSR01-AGREE-0012,agreed to provide dollars,European Community foreign ministers agreed in principle on Saturday to provide about 70 million dollars of aid for Romania and Poland.,AGREE
PLOVER-GSR01-AGREE-0013,promised military aid,British Defence Secretary Tom King has promised to continue military aid to war-torn Mozambique.,AGREE
PLOVER-GSR01-AGREE-0014,offered troops help,Syria has again offered its troops to Lebanon's new President Elias Hrawi to help him oust General Michel Aoun from the Christian enclave Aoun controls.,AGREE
PLOVER-GSR01-AGREE-0015,will provide food aid,"The United Nations will provide nearly 25,000 tons of emergency food aid to refugees fleeing the civil war in Liberia, the World Food Program (WFP) said on Monday.",AGREE
PLOVER-GSR01-AGREE-0016,ready to contribute troops peace-keeping,"{France is ready to contribute up to 4,000 troops to an international peace-keeping force in Liberia, Defence Minister Pierre Joxe said on Monday.}",AGREE
PLOVER-GSR01-AGREE-0017,agreed to extension peacekeeping force,{The Security Council today agreed to a six-month extension of the mandate for the peacekeeping force in Lebanon (UNIFIL) despite Israel's wish for a shorter period.},AGREE
PLOVER-GSR01-AGREE-0018,agreed to resign,"Ousted President Askar Akayev has agreed to resign without returning to Kyrgyzstan, the Parliament speaker said Saturday.",AGREE
PLOVER-GSR01-AGREE-0019,said committed to opening up economy,"Planning and Investment Minister Tran Xuan Gia said Vietnam is committed to opening up the economy but will not be rushed, in a rare interview late on Friday.",AGREE
PLOVER-GSR01-AGREE-0020,will allow return home,"Turkey will allow up to 13,000 Turkish Kurd refugees who have lived in Iraq for more than a decade to return home as part of a UN-brokered deal.",AGREE
PLOVER-GSR01-AGREE-0021,promised to democratize,Serbian President Vojislav Kostunica promised to democratize Serbia and establish the rule of law as he succeeded Milosevic.,AGREE
PLOVER-GSR01-AGREE-0022,offered concessions,"A Russian official offered concessions last November that U.S. negotiator Paul Nitze believed could lead to an agreement on reducing nuclear missiles in Europe, according to a senator who acted as a go-between at the talks.",AGREE
