source_id,text,gold
maven-valid-7399,"In the United States, much of the damage occurred due to tornadoes, especially in The Carolinas.",EVENT
maven-valid-3372,"The Pike River Mine incident ranks as New Zealand's worst mining disaster since 1914, when 43 men died at Ralph's Mine in Huntly.",EVENT
maven-valid-6931,"From the 19th century onwards, the revolt has been mythologized by various Spaniards, generally liberals who drew political inspiration from it.",EVENT
maven-valid-99,"The Dakota Sioux, and later the Ojibwe, tribes hunted and gathered pelts trading with French, British, and later American traders at Grand Portage, Mendota, and other sites.",EVENT
maven-valid-6609,"In December 1989, former government minister Charles Taylor moved into the country from neighboring Ivory Coast to start an uprising meant to topple the Doe government.",EVENT
maven-valid-586,"They formed part of the foreshock sequence for the 1960 Valdivia earthquake, the largest recorded earthquake in history.",EVENT
maven-valid-7947,"Dortmund were the reigning champions, having beaten Bayern 4–2 in 2013, although the season before, Bayern beat Dortmund 2–1.",EVENT
maven-valid-4088,This invasion and Iraq's subsequent refusal to withdraw from Kuwait by a deadline mandated by the United Nations led to military intervention by a United Nations-authorized coalition of forces led by the United States.,EVENT
maven-valid-3325,"However, Matthias seized his brother at the request of the Protestant Bohemians, only releasing him once he abdicated his Bohemian crown to Matthias.",EVENT
maven-valid-1750,Police forces arrived 90 minutes later and were able to take back the building by 15:30.,EVENT
maven-valid-5574,"In some areas of the city, the floods reached over one-story deep, inundating cars and causing about NT$3 billion (New Taiwan dollar, US$93.75 million) in industrial damage.",EVENT
maven-valid-5696,"The aircraft suffered a deep stall in the third minute of its flight and crashed to the ground, narrowly missing a busy main road.",EVENT
maven-valid-747,"The Civil War was won by the Free State forces, who benefitted from substantial quantities of weapons provided by the British Government.",EVENT
maven-valid-6183,"In the final, Uganda (A) captained by George Ssimwogerere of Express, won 2–0.",EVENT
maven-valid-1768,India celebrates its Navy Day annually on 4 December to mark this operation.,EVENT
maven-valid-4031,"Across the remainder of the southeast United States, several inches of rainfall led to flash flooding, damage to roadways, and major tree damage.",EVENT
maven-valid-6685,"The war, considered a Cold War-era proxy war by some, lasted 19 years, with direct U.S. involvement ending in 1973, and included the Laotian Civil War and the Cambodian Civil War, resulting in all three countries becoming communist in 1975.",EVENT
maven-valid-1696,Denny was awarded the Spirit of London Awards ‘Achievement in The Arts in December 2012.,EVENT
maven-valid-7654,"Previously, Thailand also hosted the 1981 inaugural games and the 1988 games.",EVENT
maven-valid-4883,De Grasse hastily prepared most of his fleet for battle—24 ships of the line—and sailed out to meet him.,EVENT
maven-valid-5107,"With speed down to a crawl the 'home' signal was lowered, the driver assumed, wrongly, that with no other fixed signals to Cherry Tree Lane his route was clear and speed gradually rose.",EVENT
maven-valid-6620,One battle that was crucial to Montenegro's victory in the war was the Battle of Vučji Do.,EVENT
maven-valid-1533,Arsenal's victory was their first against Chelsea in over three years and manager Arsène Wenger's first over José Mourinho in 14 attempts.,EVENT
maven-valid-6118,The tour moved on to Europe for two dates at the end of the year.,EVENT
