source_row,source_tweet_id,source_created_at,source_uncivil_raw,text,gt_uncivil
1,8.754835097412444e+17,Thu Jun 15 22:41:49 +0000 2017,no,@RodneyDavis @allison0512 Karma gave you a second chance yesterday. Start doing more about gun control.,0
2,8.544756176511836e+17,Tue Apr 18 23:23:57 +0000 2017,no,"@SteveKingIA With people like you, Steve King there's still hope for western civilization",0
3,8.406296833393172e+17,Sat Mar 11 18:25:09 +0000 2017,no,@SpeakerRyan @HouseGOP You bill is a joke and will sink the GOP. #WEDESERVEBETTER #OURLEADERSSUCK,0
4,9.219540178859213e+17,Sun Oct 22 04:19:01 +0000 2017,yes,@RepAdamSchiff Dream on. The only thing trump understands is how to enrich trump Sadly he doesn’t have the intellec… https://t.co/OtYCuSgJhG,1
5,8.76939282069545e+17,Mon Jun 19 23:06:32 +0000 2017,yes,@SenSchumer @SenateGOP Just like the Democrat taliban party was up front with the AHCA. Hypocrites,1
6,7.917841394478653e+17,Thu Oct 27 23:30:24 +0000 2016,no,"@SpeakerRyan you are going to have more of the same with HRC, and you are partly responsible. Very disappointed in all of you in DC",0
7,8.405691976041595e+17,Sat Mar 11 14:24:48 +0000 2017,no,@MaxineWaters @DeutscheBank ICYMI 3 https://t.co/fpvEPfk2Xg https://t.co/joOZvsehlH,0
8,8.264599121925898e+17,Tue Jan 31 15:59:32 +0000 2017,no,"@RepAbraham @shreveporttimes Fantastic article! I appreciate your understanding of the weaknesses of #medicaid, thanks for your leadership!",0
9,9.160231226373285e+17,Thu Oct 05 19:31:45 +0000 2017,no,@RoyBlunt While corporations scored record profits,0
10,8.330863900951962e+17,Sat Feb 18 22:50:48 +0000 2017,yes,@SenJohnHoeven How will you go home and face your family after voting for Scott Pruitt? SORRY KIDS I TO VOTED TO DESTROY OUR PLANET TODAY!!,1
11,8.889053258515333e+17,Sat Jul 22 23:35:19 +0000 2017,no,@SenBennetCO @SenCoryGardner https://t.co/D2VNBDfcbI,0
12,8.728840046341939e+17,Thu Jun 08 18:32:18 +0000 2017,no,@RepAdamSchiff @DickPolman1 Hahaha,0
13,8.623575097760358e+17,Wed May 10 17:23:46 +0000 2017,no,@SenJohnMcCain Time to change party's john boy..,0
14,8.641762731484529e+17,Mon May 15 17:50:53 +0000 2017,yes,@RepAdamSchiff @bridgetsimonds0 Sessions is only the ATTORNEY GENERAL. Schiff's an anti-Trump moron.,1
15,9.040286511838004e+17,Sat Sep 02 17:10:01 +0000 2017,no,@SpeakerRyan I am done with you Paul,0
16,8.203088977308836e+17,Sat Jan 14 16:37:36 +0000 2017,no,"@SteveKingIA Sir, you said this on @NPR re: #PreExistingConditions, what about those w/ lifelong illness/defects? O… https://t.co/IvGe0TcQQl",0
17,8.45310857798189e+17,Fri Mar 24 16:26:28 +0000 2017,no,@MarkAmodeiNV2 Thank you.,0
18,9.044014441278136e+17,Sun Sep 03 17:51:21 +0000 2017,yes,@SpeakerRyan #AndToThinkIVotedForThisShit #FireRyan #CongressBackTrumpOrPack https://t.co/4au26PabTM,1
19,8.413575098939924e+17,Mon Mar 13 18:37:16 +0000 2017,no,"@SteveKingIA - your racist subgroup's sole purpose is to be disgusting &amp; insulting, &amp; the rest of us need to denouc… https://t.co/MKavvHa0MM",0
