ad_id,page_name,candidate,full_text,gt_tone
x_1003376533864531,Herschel Walker,Diane Wilson Sare,"[ad_creative_body] I am more than honored to have the support of my dear friend, Coach Dooley. When I played at UGA, Coach had a motto: BIG TEAM, little me. Success for the TEAM means success for ALL — and come November, #TEAMHerschel is getting the win for ALL of Georgia!!\n\nTeamHerschel.com
[ad_creative_bodies] I am more than honored to have the support of my dear friend, Coach Dooley. When I played at UGA, Coach had a motto: BIG TEAM, little me. Success for the TEAM means success for ALL — and come November, #TEAMHerschel is getting the win for ALL of Georgia!!\n\nTeamHerschel.com
[google_asr_text] I'm Herschel Walker and I approve this message, I admired her show from the beginning, her shoulders always been challenged by doing things that people thought he wasn't capable of doing. He wants to be the best and he is driven to do that, disability himself to do that fall. Sometimes along the way he gets back up in with this incredible drag and self-discipline. Is achieved my affections. These are real Patriot of this country. He loves the United States of America. He also is realistic that it can be better. He is not a quote politician, there is a need in this country. There is need in this state for somebody like Herschel knowing him. The character that he has, he will make a great United States Senator
[aws_ocr_text_vid] HERSCHEL FOR SENATE APPROVED BY HERSCHEL WALKER. PAID FOR BY TEAM HERSCHEL, INC. APPROVED BY HERSCHEL WALKER. PAID FOR BY TEAM HERSCHEL, INC. -34 NINCE Coach VINCE DOOLEY G VINCE Coach VINCE DOOLEY G VINCE Coach VINCE DOOLEY VINCE DOOLEY Coach VINCE DOOLEY STAR R 9 7 Heisman Smashe Roster rgia Heisman er Smashe rgia the and the region the the Frank No alk the DO G VIN G MISSION READY DINNER Use of military rank, job titles. or photographs of individuals in uniform does not imply endorsement by the U.S. Department of Defense or any branch of the military. - Use of military rank, job titles, or photographs of individuals in uniform does not imply endorsement by the U.S. Department of Defense or any branch of the military. Use of military rank, job titles. or photographs of individuals in uniform does not imply endorsement by the U.S. Department of Defense or any branch of the military. VINCE CULTURE 34 HERSCHEL HERSCHEL 2021 COLLEGE H SCHEL FAMOUS RUN HERSCHEL RUN",promote
x_1004064094349321,RGA Nevada PAC,Pete Ricketts,"[ad_creative_body] Steve Sisolak is out for himself. WATCH:
[ad_creative_bodies] Steve Sisolak is out for himself. WATCH:
[ad_creative_link_title] Fire Steve Sisolak
[google_asr_text] I worked in the casinos for 25 years and then save for my retirement but inflation is eating into my savings and forcing me to go back to work. Steve szyslak doesn't care about us as we fell behind sis. Let gave sweetheart deals to his campaign donors and syslog ran a shady telemarketing business. That was accused of ripping off seniors, some of sis, Lex cronies even ended up in jail, Steve cieslak, is out for himself.
[aws_ocr_text_vid] EXIT P2 STEVE SISOLAK SWEETHEART DEALS FOR CAMPAIGN DONORS PROPUBLICA, 5 16/22, NEVADA SECRETARY OF STATE, ACCESSED 6/2 22 PAID FOR BY RGA NEVADA PAC STEVE SISOLAK'S TELEMARKETING BUSINESS ACCUSED OF RIPPING OFF SENIORS LAS VEGAS SUN, 10/24/08 EXIT P2 STEVE SISOLAK WE H T S SISOLAK'S CRONIES ENDED UP IN JAIL LAS VEGAS REVIEW-JOURNAL, 10/31/08 PAID FOR BY RGA NEVADA PAC STEVE SISOLAK IS OUT FOR SE F PAID FOR BY RGA NEVADA PAC STEVE SISOLAK IS OUT FOR HIMSELF PAID FOR BY RGA NEVADA PAC STEVE SISOLAK SWEETHEART DEALS FOR CAMPAIGN DONORS PROPUBLICA, 5/16/22. NEVADA SECRETARY OF STATE, ACCESSED 6/2/22 STEVE K'S E AR 0 SISOLAK'S CRONIES ENDED UP IN JAIL LAS VEGAS L, 10 PAID FOR BY RGA NEVADA PAC MAUREEN JOHANSSON LAS VEGAS, NV",attack
x_1004203997202867,Rand Paul,Luke Mixon,"[ad_creative_body] As a physician, I understand the importance of choosing the RIGHT care at the right time. Medical freedom saves lives.
[ad_creative_bodies] As a physician, I understand the importance of choosing the RIGHT care at the right time. Medical freedom saves lives.
[ad_creative_link_title] CHOOSE LIBERTY: Re-Elect Rand Paul
[ad_creative_link_description] Defend Freedom &Win The Senate
[aws_ocr_text_img] RAND. STAND WITH RAND. Rand Paul understands that people deserve the right. to make their own decisions about their health.. LEARN MORE. PAID FOR BY BAND PAIA FOR us SENATE",promote
x_1010428737021346,Mandela Barnes,Mandela Barnes,"[ad_creative_body] Enough of Washington politicians that don’t understand and don’t care what Wisconsin’s middle class is going through. \n\nMy mom was a teacher, and my dad worked third shift. I’ll fight for the middle class, because that’s where I’m from. And in the Senate I’ll work to cut taxes, and bring back manufacturing to lower costs and create jobs.
[ad_creative_bodies] Enough of Washington politicians that don’t understand and don’t care what Wisconsin’s middle class is going through.  \n\nMy mom was a teacher, and my dad worked third shift. I’ll fight for the middle class, because that’s where I’m from. And in the Senate I’ll work to cut taxes, and bring back manufacturing to lower costs and create jobs.
[google_asr_text] There's no other place for my story as possible. My mom was a teacher, my dad worked third shift. It was our ticket to the middle class, that's the promise of America. I'll fight to protect While others send our jobs overseas. I'll bring manufacturing back invest in our own workers in stock, our shells with American products. And with a middle class tax cut, you'll be able to keep more of what you earn. I know the promise of America and no one will fight harder to protect it. I mendella Barnes and I approve this message.
[aws_ocr_text_vid] MANDELA BARNES FOR U.S. SENATE MANDELA BARNES WILL STOP OUTSOURCING MANDELA BARNES MORE WISCONSIN MANUFACTURING -MANDELA BARNES MORE WISCONSIN MANUFACTURING MANDELA BARNES- MIDDLE-CLASS TAX CUT -MANDELA BARNES MIDDLE-CLASS TAX CUT PAID FOR BY MANDELA BARNES FOR WISCONSIN. APPROVED BY MANDELA BARNES. MANDELA BARR PAID FOR BY MANDELA BARNES FOR WISCONSIN. APPROVED BY MANDELA BARNES. MANDELA BARNES FOR SENATE www.mandelabarnes.com PAID FOR BY MANDELA BARNES FOR WISCONSIN. APPROVED BY MANDELA BARNES.",promote
x_1011888503543459,Team Wexton '22,Jennifer Wexton,"[ad_creative_body] Jennifer Wexton passed commonsense gun safety laws and is working to protect women's reproductive freedom. Early Voting by Nov. 5 or Vote on Nov. 8
[ad_creative_bodies] [""Jennifer Wexton passed commonsense gun safety laws and is working to protect women's reproductive freedom. Early Voting by Nov. 5 or Vote on Nov. 8"",""Jennifer Wexton passed commonsense gun safety laws and is working to protect women's reproductive freedom. Early Voting by Nov. 5 or Vote on Nov. 8""]
[ad_creative_link_title] Vote for Jennifer Wexton
[ad_creative_link_description] Jennifer Wexton fights for us
[aws_ocr_text_img] REPRESENTATIVE. JENNIFER WEXTON. FOR CONGRESS. PROTECTING women's reproductive freedom. PASSED commonsense gun safety laws. EARLY VOTING BY NOV. 5 OR VOTE ON NOV.8. Paid for by Wexton for Congress",promote
x_1015397659125505,Michigan Families First,Pete Ricketts,"[ad_creative_body] State Representative Alex Garza voted to increase funding for police officer training and retention.\n\nAnd he says it’s time to upgrade our water infrastructure, to protect our families from flooding.\n\nBecause his job is to keep our community safe.
[ad_creative_bodies] State Representative Alex Garza voted to increase funding for police officer training and retention.\n\nAnd he says it’s time to upgrade our water infrastructure, to protect our families from flooding.\n\nBecause his job is to keep our community safe.
[ad_creative_link_title] Alex Garza: keeping our communities safe
[google_asr_text] I'm Alex, Garza I voted to increase funding for police officer training and retention. It's time to upgrade our water infrastructure to protect our families from flooding. Because my job is to keep our community safe.
[aws_ocr_text_vid] Alex Garza representative - Alex Garza representative - ALEX GARZA State Representative Alex Garza - state representative - I voted to increase funding Alex Garza - state represemative - POLICE TAYLOR POLICE DEPARTMENT CLOR for police officer training and retention. Alex Garza representative - POLICE TAYLOR POLICE DEPARTMENT POLI for police officer training and retention. Alex Garza - state representative - It's time to upgrade our water infrastructure Alex Garza - state representative - to protect our families from flooding. Alex Garza - state representative - Because my job is to keep our community safe. Alex Garza - state Because my job is to keep our community safe. PAID FOR BY THE MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE, 606 TOWNSEND, LANSING, MI 48933 Alex Garza - state representative - Because my job is to keep our community safe. PAID FOR BY THE MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE, 606 TOWNSEND, LANSING, MI 48933 Alex state PAID FOR BY THE MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE, 606 TOWNSEND, LANSING, MI 48933",promote
x_1015603355970495,Katie Hobbs,Pete Ricketts,"[ad_creative_body] 🔥 BREAKING: The NYT just called the Arizona Governor's race a “virtual dead heat” between me and my opponent - who is \n the MOST extremist, right-wing, MAGA candidate for Governor in the country. \n\nNow, I need your help making one final push with undecided voters to pull ahead. Can you chip in a few dollars right now to help me defeat my MAGA opponent?
[ad_creative_bodies] 🔥 BREAKING: The NYT just called the Arizona Governor's race a “virtual dead heat” between me and my opponent - who is \n the MOST extremist, right-wing, MAGA candidate for Governor in the country. \n\nNow, I need your help making one final push with undecided voters to pull ahead. Can you chip in a few dollars right now to help me defeat my MAGA opponent?
[ad_creative_link_title] 🔥 Stop My MAGA Opponent: Donate Now >>
[ad_creative_link_description] Pitch in to support our campaign.
[aws_ocr_text_img] The New York Times. Just Called Our Race. VIRTUAL DEAD HEAT. RUSH A DONATION",promote
x_1016899799707113,JB Pritzker,Pete Ricketts,"[ad_creative_body] Seeing signs to vote early? Follow them! You can vote on your own schedule, anytime between now and November 8th. Look up your polling place at IllinoisVotes2022.com and make your vote count early this year.
[ad_creative_bodies] Seeing signs to vote early? Follow them! You can vote on your own schedule, anytime between now and November 8th. Look up your polling place at IllinoisVotes2022.com and make your vote count early this year.
[ad_creative_link_title] Vote for JB & Juliana
[ad_creative_link_description] You can vote today by mail or in person at local election sites. Don't wait until November 8 to make your voice heard!
[aws_ocr_text_img] LOOKING. FOR A. SIGN?. EARLY VOTING. VOTACION. TEMPRANO",promote
x_1019616245366815,Joseph Pinion III,Jack Reed,"[ad_creative_body] Join Joe Pinion's fight to retire Wall Street Chuck and liberate millions of New Yorkers from the Democrat's stranglehold!
[ad_creative_bodies] Join Joe Pinion's fight to retire Wall Street Chuck and liberate millions of New Yorkers from the Democrat's stranglehold!
[ad_creative_link_title] Stop the Rot: It's time to Dump Chuck Schumer
[ad_creative_link_description] Help Joe Pinion retire Crooked Chuck Schumer from political for good and flip this Senate seat RED.
[google_asr_text] The American dream is riding the way beneath our feet but nobody ever notices into a people start falling through the floor for 23 years. Charles Schumer has been a rubber stamp for American Decay. He may be the senator from New York but he does not represent the 19 million. Working people of this great state. He works for the 1%. Handpicked by Wall Street, Elites to serve their needs not hours on his W. Banks are bigger people are poor, and the middle class has become an endangered. Species. But it doesn't have to be this way because we are the 99% and our moment to build the America we deserve is now. Hi, I'm Joe pinion and I'm running for US Senate against Chuck Schumer because I am tired of politicians that celebrates record gains on Wall Street, but it's happy to pay lip service to the 12 million children, living in abject, poverty and despair. Tired of a government willing to label parents at PTA. Meetings. Domestic terrorists went Four percent of the fourth graders at those same schools. Can't even read at grade level. Yes I'm tired. And I know millions of New Yorkers feel the exact same way in my life. I've worked in our nation's poorest congressional district, as him the power and destruction of our politics and the private sector of clothes. And here's what I know, look, love and hard work, it's not enough, not when the people we elect to serve our interest, go to d.c. and fulfill somebody else's agenda. It's time to retire. Are corporate Democrats like Wall Street Schumer, who use the D next to their name, the try to convince everyday Americans that they're on your side. So help us build an America that works for every American, help us and Decades of political neglect and American Decay, stand with us. Hold the line and help us stop.
[aws_ocr_text_vid] THE AMERICAN DREAM THE AMERICAN DREAM IS ROTTING AWAY NOBODY NOTICES UNTIL PEO NOBODY NOTICES UNTIL PEOPLE FALL THROUGH THE FL NOBODY NOTICES UNTIL PEOPLE FALL THROUGH THE FLOOR CHARLES SCHUMER = AMER CAN DECAY CHARLES SCHUMER = DECAY CHARLES SCHUMER = AME DECAY CHARLES SCHUMER DOES AMERIC CHARLES SCHUMER DOES NOT REPRESENT 6L NEW YORK WORKERS CHARLES SCHUMER DOES NOT REPRESENT 6L NEW YORK WORKERS GREAT STATE НЕ 1% THE PERCENT CHANGE IN 150% TOP 1% 100% 50% BOTTOM 90% 26% 0% 1980 1990 2000 SOURCE ANALYSIS OF AND SONG TABLE AND 2010 - PERCENT CHANGE IN ANNUAL WAGES 150% TOP 1% 160.3% 100% SCHUMER 50% BOTTOM 90% ELECTED IN 1980 26% 0% 2020 2010 2000 1990 1980 SOURCE EPI ANALYSIS OF AND SONG TABLE AND SOCIAL SECURITY ADMINISTRATION WAGE STATISTICS - - PERCENT CHANGE IN ANNUAL WAGES - 150% TOP 1% 160.3% 100% SCHUMER 50% BOTTOM 90% ELECTED IN 1980 26% 0% 2020 2010 2000 1990 1980 SOURCE ANALYSIS OF AND SONG TABLE AND SOCIAL SECURITY ADMINISTRATION WAGE STATISTICS - - PERCENT CHANGE IN ANNUAL WAGES 150% TOP 1% 160.3% 100% SCHUMER 50% BOTTOM 90% ELECTED IN 1980 26% 0% 2020 2010 2000 1990 1980 SOURCE: ANALYSIS OF AND SONG TABLE A3) AND SOCIAL SECURITY ADMINISTRATION WAGE STATISTICS BA KS ARE BIGGER Big banks are getting even bigger, raising alarms in Washington BUSINESS. PEO PLE ARE POORER ""34.4% OF PEOPLE LIVE BELOW POVERTY LINE"" ARE POOR LINE"" -CENSUSREPORTER.ORG THE MIDDLE CLASS IS ENDANGERED Pew Research Center 11 America's Shrinking Middle Class: A Close Look at Changes Within Metropolitan Areas THE MIDDLE CLASS IS ENDANGERED Pew Research Center MAY America's Shrinking Middle Class: A Close Look at Changes Within Metropolitan Areas SS WE EXPRESS - LE EXPRESS 70 MOST LOVED IN ISAVE MONEY i 99% EXPRESS EXPRESS BUILD THE WE BUILD THE AMERICA WE DESERVE BUILD THE WE DESERVE JOE PINION JOE PINION JOE PINION U.S SENATE I AM TIRED OF WALL ST WALL ST NEW YORK STOCK EXCHANGE Are Living in III in of work - - - Save the Children. Nearly 13 Million Children Are Living in Poverty in America Early in 2020, it was estimated that almost 12 million children in America were living in burden disproportionately affecting and as well as those living in rural Then COVID forced even more parents out of work the number of children living in poverty in America is close to 13 The climate crisis is is also magnifying poverty in America, with kids from low-income communities and communities of color greatest Children who grow up in poverty are more likely to have certain underlying health The - - Save the Children. Nearly 13 Million Children Are Living in Poverty in America Early in 2020, it was estimated that almost 12 million children in America were living in poverty-a burden affecting Black and kids. as well as those living in rural areas. Then COVID forced even more parents out of work Today. the number of children living in poverty in America is close to 13 The climate crisis is is also magnifying poverty in America, with kids from low-income communities and of color greatest Children who grow up in poverty are more likely to have certain underlying State school board leaves national association saying they called parents State school board leaves national association saying they called parents domestic terrorists - FOX State school board leaves national NEWS association saying they called THE - parents domestic terrorists HILL Letter calling parents domestic terrorists has 'thrown gasoline' on the fire, parent activist says The NSBA letter has thrown gasoline on this parent-led movement parent activist says WSJ About Those Domestic-Terrorist Parents Are Parents Being Tagged as Merrick Garland should rescind his misguided school boards memo. ""Domestic Terrorists by the FBI? Justice Department Needs to Show Its Cards FOX State school board leaves national NEWS association saying they called THE - - - parents domestic terrorists HILL Letter calling parents domestic terrorists has 'thrown gasoline' on the fire, parent activist says The NSBA letter has thrown on this parent movement activist says WSJ About Those Domestic-Terrorist Parents Are Parents Being Tagged as Merrick Garland should rescind his misguided school boards memoo ""Domestic Terrorists by the FBI? Justice Department Needs to Show Its Cards NSBA P De Cards The Heritage Foundation Are Parents Being Tagged as ""Domestic Terrorists"" by the FBI? Justice Department Needs to Show Its Cards WSJ About Those Domestic-Terrorist Parents Merrick Garland should rescind his misguided school boards memo. - - - - State school THE association The Heritage Foundation Are Parents Being Tagged as ""Domestic Terrorists"" by the FBI? Justice Department Needs to Show Its Cards WSJ About Those Domestic-Terrorist Parents Merrick Garland should rescind his misguided school boards memo. - - the - - State school THE association The Heritage Foundation Are Parents Being Tagged as ""Domestic Terrorists"" by the FBI? Justice Department Needs to Show Its Cards WSJ About Those Domestic-Terrorist Parents Merrick Garland should rescind his misguided school boards memo. - the - State school THE association The Heritage Foundation Are Parents Being Tagged as ""Domestic Terrorists"" by the FBI? Justice Department Needs to Show Its Cards WSJ About Those Domestic-Terrorist Parents Merrick Garland should rescind his misguided school boards memo. - - the - State school THE association ""SOME 34% OF STUDENTS ARE BELOW BASIC READING IN FOURTH GRADE, ACCORDING TO THE NATIONAL CENTER FOR EDUCATION STATISTICS"" Regis College Child in America and Resources ""SOME 34% OF STUDENTS ARE BELOW BASIC READING LEVE IN FOURTH GRADE, ACCORDING TO THE U.S. NATIONAL CENTER FOR EDUCATION STATISTICS"" Regis College Child Illiteracy in America: Statistics, Facts, and Resources US: 2 out of 3 student national reading stan New York State has a literacy total of 3.4 million State below the High School or ""SOME 34% OF STUDENTS ARE BELOW BASIC READING LEVEL IN FOURTH GRADE, ACCORDING TO THE U.S. NATIONAL CENTER FOR EDUCATION STATISTICS"" Regis College Child Illiteracy in America: Statistics, Facts, and Resources Study International US: 2 out of 3 students fail to m national reading standards New York State has a literacy of 3.4 million Name York State - the High School ""SOME 34% OF STUDENTS ARE BELOW BASIC READING LEVEL IN FOURTH GRADE, ACCORDING TO THE U.S. NATIONAL CENTER FOR EDUCATION STATISTICS"" Regis College Child Illiteracy in America: Statistics, Facts, and Resources Study International US: 2 out of 3 students fail to m national reading standards KID SOME 34% OF STUDENTS ARE BELOW BASIC READING LEVEL IN FOURTH GRADE, ACCORDING TO THE U.S. NATIONAL CENTER FOR EDUCATION STATISTICS"" Regis College Child Illiteracy in America: Statistics, Facts, and Resources Study International US: 2 out of 3 students fail to meet national reading standards KIDS CAN'T READ AT GRADE LEVEL TIRED MILLIONS OF NEW YORKERS FEEL THE MILLIONS OF NEW YORKERS FEEL THE SAME WAY EAST E - New York's 15th - District - POINT IN # NEW LIVES IN SINCE 2010, THE 15TH CONGRESSIONAL DISTRICT CITY HAS BEEN THE WELL AS STATE THE MOST DISTRICT By AMANDA LUZ HENNING SANTIAGO IN THE COUNTRY. WITH A MEDIAN INCOME OF DECEMBER 2019 $28,042 AS OF 2017. The percentage of reside Council - below the Federal Poverty from a low of 6% in Totten to a high of 40% in Morrisa citywide, the rate was 20% EAST TREMONT New York's 15th - - - Congressional District - POINT IN # NEW YORKERS LIVES IN SINCE 2010, THE 15TH CONGRESSIONAL DISTRICT CITY HAS BEEN THE WELL AS STATE THE MOST DISTRICT By AMANDA LUZ HENNING SANTIAGO IN THE COUNTRY. WITH A MEDIAN INCOME OF DECEMBER 2019 $28,042 AS OF 2017. The percentage of reside Council - - below the Federal Poverty from a low of 6% in Totten to a high of 40% in Morrisa citywide, the rate was 20% EAST - - New York's 15th - - Congressional District - POINT of IN # NEW LIVES IN SINCE 2010, THE 15TH CONGRESSIONAL DISTRICT CITY HAS BEEN THE WELL AS STATE THE MOST DISTRICT By AMANDA LUZ HENNING SANTIAGO IN THE COUNTRY. WITH A MEDIAN INCOME OF DECEMBER 2019 $28,042 AS OF 2017. The percentage of reside - - below the Federal Poverty from a low of 6% in Totten to a high of 40% In Morrisa citywide, the rate was 20% the - EAST - New York's 15th - - Congressional District - POINT IN NEW LIVES IN SINCE 2010, THE 15TH CONGRESSIONAL DISTRICT CITY HAS BEEN THE WELL AS STATE THE MOST DISTRICT By AMANDA LUZ HENNING SANTIAGO IN THE COUNTRY. WITH A MEDIAN INCOME OF DECEMBER 2019 $28,042 AS OF 2017. The percentage of reside - below the Federal Poverty from a low of 6% in to a high of 40% in Morrisa the rate was 20% POWER AND OF OUR POWER AND DESTRUCTION OF OUR POLITICS LO V HARD WORK IS NOT ARD THEY FULFILL SOMEONE ELSE'S GENDA THEY FULFILL SOMEONE ELSE'S AGENDA RETIRE RETIRE WALL STREET RETIRE WALL STREET SCHUMER HELP US HELP US BUILD AN AME RICA FORT HELP US BUILD AN AME RICA FOR EVERY AMERICAN HELP US END DECADES OF HELP US END DECADES OF AMERICAN HELP US END DECADES OF AMERICAN DECAY STAND WITH US HOLD THE LINE STOP STOP THE ROT JOE PINION U.S. SENATE JOEPINION.COM APPROVED BY JOE PINION. PAID FOR BY JOE PINION FOR US SENATE JOE PINION U.S. SENATE JOEPINION.COM #STOPTHEROT APPROVED BY JOE PINION. PAID FOR BY JOE PINION FOR US SENATE",promote
x_1019736776089143,BOLD PAC,Rudy Salas,"[ad_creative_body] Rudy Salas fights for the Central Valley every day. When Kern Medical Hospital's Trauma Care Center almost closed, he kept it open.
[ad_creative_bodies] Rudy Salas fights for the Central Valley every day. When Kern Medical Hospital's Trauma Care Center almost closed, he kept it open.
[ad_creative_link_title] Rudy Salas FIGHTS FOR US!
[google_asr_text] Rudy Salas broke from his party and voted against the gas tax because he wanted to keep prices low when we needed it. Most, he voted to produce insulin in California, making it cheaper for us. Rudy Salas works for the good of the people of the valley.
[aws_ocr_text_vid] RUDY VOTED TO PRODUCE INSULIN IN CALIFORNIA PAID FOR BY BOLD PAC, BOLDPAC.COM. NOTAUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. RUDY SALAS RUDY SALAS DEFENDS VOTE AGAINST GA WANTED TO ""KEEP HIS COMMITMENT"" TO KERN F NOW HEADLINES NTO23.COM AND ON YOUR 23ABC MOBILE AND RUDY VOTED TO PRODUCE INSULIN IN CALIFORNIA RUDY SALAS WORKS FOR THE PEOPLE OF THE VALLEY PAID FOR BY BOLD PAC, BOLDPAC.COM. NOTAUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. RUDY VOTED TO RUDY SALAS DEFENDS VOTE AGAINST GA WANTED TO ""KEEP HIS COMMITMENT"" TO KERN F NOW HEADLINES TURNTO23.COM AND ON YOUR 23ABC MOBILE RUDY VOTED TO KEEP PRICES LOW WHEN WE NEEDED IT",promote
