source_id,text,gt_label,n_votes,vote_share_majority,votes_HATE,votes_OFFENSIVE,votes_NORMAL
hatexplain_25681656_gab,fucking kike loving magapedes kys you sniveling faggots,HATE,3,1.0,3,0,0
hatexplain_14632082_gab,there shouldnt be an arguement against this but once the queers got a voice it was prolly too late,HATE,3,0.6666666666666666,2,1,0
hatexplain_1185005518718242816_twitter,i guess i gotta be a syrian refugee to go to russia,OFFENSIVE,3,0.6666666666666666,0,2,1
hatexplain_1220352843728785408_twitter,i be minding my business y ’ all hoes are weird,NORMAL,3,0.6666666666666666,0,1,2
hatexplain_1185054134929514497_twitter,on god some of you niggas need to be euthanized and hung no cap straight fucking incels,NORMAL,3,1.0,0,0,3
hatexplain_1123638363292987393_twitter,yes gurl fuck u fake ass hoe,OFFENSIVE,3,1.0,0,3,0
hatexplain_22090009_gab,you are going to get raped fed you and all the other siege niggers,HATE,3,0.6666666666666666,2,1,0
hatexplain_13110414_gab,the boomer toughguy became my object of general loathing after observing one on a train casually interacting with a sulking sheboon and going out of his way to call her ma am one obsequious instance after another,HATE,3,1.0,3,0,0
hatexplain_1176161132488339456_twitter,<user> that ’ pretty gay bro,NORMAL,3,0.6666666666666666,0,1,2
hatexplain_15800013_gab,msm tatics if shooter is not white bitch about gun control if white use the nazi angle blame trump and probably roll out gabby giffords and the usual suspects,OFFENSIVE,3,1.0,0,3,0
hatexplain_1178771301248503809_twitter,<user> <user> preceded by poverty caused by socialism yes lots of countries have socialist aspects like canada but when they go full socialism that when they turn in to shithole countries,NORMAL,3,1.0,0,0,3
hatexplain_14399578_gab,how about americans raped and murdered by their illegalaliens let start there shall we they have a sworn duty to uphold the constitution and project the sovereignty of our nation not attract more illegalaliens instead of deporting <number> million and importing more muslim terrorists,HATE,3,0.6666666666666666,2,1,0
hatexplain_1253133573437239298_twitter,sie look to nazis forget it,NORMAL,3,0.6666666666666666,1,0,2
hatexplain_18128754_gab,greatest hope for mankind is to reach out to muslims who have not yet been enlisted to violence,NORMAL,3,0.6666666666666666,0,1,2
hatexplain_1179072069847248896_twitter,dislike food eggplant capsicum paprika favourite colour yellow charm point mole at the mouth strong point brave weak point too serious favourite fashion black and white with only the shoes in colours cap hat,NORMAL,3,1.0,0,0,3
hatexplain_1124019956914577416_twitter,billie eilish is the mother of all depressed gay kids,NORMAL,3,1.0,0,0,3
hatexplain_1076653388232704000_twitter,a nigga have a baby on me i swear i ’ ll take out the whole family sorry not sorry 😋 🗡,HATE,3,0.6666666666666666,2,1,0
hatexplain_13190059_gab,soon the season low will be an all time low for the negro felon league negrofelonleague burnthenfl,HATE,3,1.0,3,0,0
