model,provider,task,item_id,latency_s,output_tokens,error,prompt_chars
claude-opus-5,anthropic,agoraspeech_criticism_agenda,agora_Tsipras_2023_06_21_Patra_p40,1.3382226249959785,20.0,,1615
claude-opus-5,anthropic,agoraspeech_criticism_agenda,agora_Androulakis_2023_06_19_Thessaloniki_p30,1.2005364579963498,21.0,,302
claude-opus-5,anthropic,agoraspeech_criticism_agenda,agora_Mitsotakis_2023_04_22_Chania_p38,1.2240402909956174,21.0,,320
claude-opus-5,anthropic,ballard_incivility,2492,1.9696496249962365,87.0,,147
claude-opus-5,anthropic,ballard_incivility,1053,1.921395166995353,85.0,,148
claude-opus-5,anthropic,ballard_incivility,413,2.014175833988702,38.0,,173
claude-opus-5,anthropic,bestvater_kavanaugh_stance,kavanaugh_1339,1.2102892920083832,17.0,,206
claude-opus-5,anthropic,bestvater_kavanaugh_stance,kavanaugh_1563,1.156663165995269,17.0,,197
claude-opus-5,anthropic,bestvater_kavanaugh_stance,kavanaugh_1511,1.4108637909957906,17.0,,157
claude-opus-5,anthropic,bestvater_wm_stance,wm_7467,2.023396208998747,93.0,,56
claude-opus-5,anthropic,bestvater_wm_stance,wm_16357,1.4972232910076855,15.0,,151
claude-opus-5,anthropic,bestvater_wm_stance,wm_11383,1.5365207499999087,60.0,,147
claude-opus-5,anthropic,brandt_gtd_attack_type,12853,1.376046250006766,18.0,,374
claude-opus-5,anthropic,brandt_gtd_attack_type,35995,1.5527806669997517,21.0,,214
claude-opus-5,anthropic,brandt_gtd_attack_type,12074,1.353069749995484,21.0,,725
claude-opus-5,anthropic,brandt_political_relevance,232,1.1204648330021882,11.0,,1777
claude-opus-5,anthropic,brandt_political_relevance,122,1.2772750419971999,11.0,,1497
claude-opus-5,anthropic,brandt_political_relevance,84,1.1703480419964762,11.0,,1555
claude-opus-5,anthropic,burnham_covid_threat_minimization,covid_306,1.2878052910091355,15.0,,247
claude-opus-5,anthropic,burnham_covid_threat_minimization,covid_280,1.7381843750044936,15.0,,259
claude-opus-5,anthropic,burnham_covid_threat_minimization,covid_315,1.3171874590043444,15.0,,186
claude-opus-5,anthropic,burnham_polnli_entailment,test_14480,2.7361092080100207,124.0,,684
claude-opus-5,anthropic,burnham_polnli_entailment,test_3094,1.7135738329961896,37.0,,170
claude-opus-5,anthropic,burnham_polnli_entailment,test_4478,1.9921751249930821,82.0,,279
claude-opus-5,anthropic,burnham_polnli_event_entailment,event_test_708,1.1741869160032365,10.0,,138
claude-opus-5,anthropic,burnham_polnli_event_entailment,event_test_547,1.1948774170014076,10.0,,191
claude-opus-5,anthropic,burnham_polnli_event_entailment,event_test_132,1.137400167004671,10.0,,125
claude-opus-5,anthropic,burnham_trump_stance,trump_train_1101,1.8773628329945495,113.0,,146
claude-opus-5,anthropic,burnham_trump_stance,trump_test_1541,1.285233041999163,18.0,,165
claude-opus-5,anthropic,burnham_trump_stance,trump_test_1653,1.4176583749940619,18.0,,207
claude-opus-5,anthropic,cap_crs_policy_topic,cap_crs_36635,1.2902380410087062,21.0,,69
claude-opus-5,anthropic,cap_crs_policy_topic,cap_crs_38667,3.7237041250045877,216.0,,52
claude-opus-5,anthropic,cap_crs_policy_topic,cap_crs_33788,1.5515032499970403,18.0,,149
claude-opus-5,anthropic,cap_party_platform_policy_topic,cap_party_democratic_3246.0,1.1349037920008413,19.0,,162
claude-opus-5,anthropic,cap_party_platform_policy_topic,cap_party_democratic_10092.0,1.1738150000019232,37.0,,168
claude-opus-5,anthropic,cap_party_platform_policy_topic,cap_party_democratic_10958.0,1.2581137090019183,51.0,,124
claude-opus-5,anthropic,chae_semeval_stance,semeval_156,2.0559537499939324,112.0,,117
claude-opus-5,anthropic,chae_semeval_stance,semeval_125,1.3212516669882461,37.0,,94
claude-opus-5,anthropic,chae_semeval_stance,semeval_278,1.111413916994934,24.0,,107
claude-opus-5,anthropic,dicocco_manifesto_populism,dicocco_150,1.5136445829994045,59.0,,59
claude-opus-5,anthropic,dicocco_manifesto_populism,dicocco_4666,2.0725717500026803,73.0,,98
claude-opus-5,anthropic,dicocco_manifesto_populism,dicocco_6090,1.4378595419984777,10.0,,411
claude-opus-5,anthropic,douglass_icbe_sentence_event_type,473_25,2.4327234999946086,49.0,,91
claude-opus-5,anthropic,douglass_icbe_sentence_event_type,197_13,1.3839327919995412,13.0,,187
claude-opus-5,anthropic,douglass_icbe_sentence_event_type,4_28,1.1775032080040546,14.0,,155
claude-opus-5,anthropic,erlich_ati_topics,90,1.7380748329887865,68.0,,274
claude-opus-5,anthropic,erlich_ati_topics,802,2.084622833004687,68.0,,268
claude-opus-5,anthropic,erlich_ati_topics,3183,2.0663954589981586,68.0,,132
claude-opus-5,anthropic,gilardi_relevance,1239555124076220416,1.7793625839985907,41.0,,181
claude-opus-5,anthropic,gilardi_relevance,1259441759496613889,1.4266636249958538,11.0,,295
claude-opus-5,anthropic,gilardi_relevance,1259250872778883072,1.4312467919953633,11.0,,295
claude-opus-5,anthropic,gilardi_stance,1341856271213838336,3.607446042005904,234.0,,202
claude-opus-5,anthropic,gilardi_stance,1334624404521684994,1.4757309580018045,46.0,,117
claude-opus-5,anthropic,gilardi_stance,1367871491283488769,1.162117333005881,24.0,,105
claude-opus-5,anthropic,halterman_keith_bfrs,halterman_keith_bfrs_445,1.1727521660068305,38.0,,183
claude-opus-5,anthropic,halterman_keith_bfrs,halterman_keith_bfrs_102,1.2619348330044886,38.0,,325
claude-opus-5,anthropic,halterman_keith_bfrs,halterman_keith_bfrs_178,1.704897458999767,15.0,,88
claude-opus-5,anthropic,halterman_keith_cmp,halterman_keith_cmp_060,0.9450172090000706,16.0,,115
claude-opus-5,anthropic,halterman_keith_cmp,halterman_keith_cmp_315,1.7549549160030438,66.0,,78
claude-opus-5,anthropic,halterman_keith_cmp,halterman_keith_cmp_204,1.554498124998645,34.0,,175
claude-opus-5,anthropic,haunss_papea_claims,SZ-20201102-SGIDZ-308_1,1.1625172920030309,16.0,,42
claude-opus-5,anthropic,haunss_papea_claims,WESKU00020111006e7a600030_1,1.2801164160046028,20.0,,57
claude-opus-5,anthropic,haunss_papea_claims,StZ_20130613_DPHNA_372_1,1.9914274170005228,107.0,,59
claude-opus-5,anthropic,haunss_papea_fgz_forms,haunss_papea_fgz_forms_153,1.5463965829985682,22.0,,38
claude-opus-5,anthropic,haunss_papea_fgz_forms,haunss_papea_fgz_forms_494,1.4480525409890106,22.0,,39
claude-opus-5,anthropic,haunss_papea_fgz_forms,haunss_papea_fgz_forms_381,1.3544607080111746,53.0,,45
claude-opus-5,anthropic,mellon_bes_mii_2024,15438_23,1.0921366660040803,13.0,,32
claude-opus-5,anthropic,mellon_bes_mii_2024,17269_21,1.0325805409956956,16.0,,27
claude-opus-5,anthropic,mellon_bes_mii_2024,47479_21,1.5784289589937543,16.0,,39
claude-opus-5,anthropic,muller_fujimura_campaign_policy_area,train_1996,2.0032680419972166,118.0,,44
claude-opus-5,anthropic,muller_fujimura_campaign_policy_area,train_1686,1.17856600000232,31.0,,61
claude-opus-5,anthropic,muller_fujimura_campaign_policy_area,train_670,1.0350843330088537,24.0,,38
claude-opus-5,anthropic,ornstein_scotus_sentiment,16188864_2020-07-09T14:01:47.000Z,2.153930540996953,145.0,,166
