model,task,n,headline_f1,malformed
gemini-3.1-flash-lite,agoraspeech_criticism_agenda,100,0.8799519807923168,0
gemini-3.1-flash-lite,ballard_incivility,100,0.5,0
gemini-3.1-flash-lite,bestvater_kavanaugh_stance,100,0.9454545454545454,0
gemini-3.1-flash-lite,bestvater_wm_stance,100,0.9090909090909091,0
gemini-3.1-flash-lite,brandt_gtd_attack_type,100,0.48743595539481616,0
gemini-3.1-flash-lite,brandt_political_relevance,100,0.5945945945945946,0
gemini-3.1-flash-lite,burnham_covid_threat_minimization,100,0.5957446808510638,0
gemini-3.1-flash-lite,burnham_polnli_entailment,100,0.8571428571428571,0
gemini-3.1-flash-lite,burnham_polnli_event_entailment,100,0.989247311827957,0
gemini-3.1-flash-lite,burnham_trump_stance,100,0.7600000000000001,0
gemini-3.1-flash-lite,cap_crs_policy_topic,100,0.6485934789856358,0
gemini-3.1-flash-lite,cap_party_platform_policy_topic,100,0.6036276722594921,0
gemini-3.1-flash-lite,chae_semeval_stance,100,0.8218673218673219,0
gemini-3.1-flash-lite,dicocco_manifesto_populism,100,0.5714285714285714,0
gemini-3.1-flash-lite,douglass_icbe_sentence_event_type,100,0.39038990182328187,0
gemini-3.1-flash-lite,erlich_ati_topics,100,0.5287540459724108,0
gemini-3.1-flash-lite,gilardi_relevance,100,0.918918918918919,0
gemini-3.1-flash-lite,gilardi_stance,100,0.4832844574780059,0
gemini-3.1-flash-lite,halterman_keith_bfrs,100,0.753019943019943,0
gemini-3.1-flash-lite,halterman_keith_cmp,100,0.5288632929723608,0
gemini-3.1-flash-lite,haunss_papea_claims,100,0.5962334340850963,0
gemini-3.1-flash-lite,haunss_papea_fgz_forms,100,0.9562407571724342,0
gemini-3.1-flash-lite,mellon_bes_mii_2024,100,0.8167499392651523,0
gemini-3.1-flash-lite,muller_fujimura_campaign_policy_area,100,0.6015716084681603,0
gemini-3.1-flash-lite,ornstein_scotus_sentiment,100,0.5637445887445888,0
gemini-3.1-flash-lite,osnabruegge_cross_domain_topic,100,0.4614102167673596,0
gemini-3.1-flash-lite,plover_cameo_event,100,0.623866982690512,0
gemini-3.1-flash-lite,politicause_causal_relation,100,0.6741573033707865,0
gemini-3.1-flash-lite,rheault_line_of_fire_incivility,100,0.6486486486486487,0
gemini-3.1-flash-lite,theocharis_dynamics_incivility,100,0.6333333333333333,0
gemini-3.1-flash-lite,toxicity_protests_es,100,0.8484848484848485,1
gemini-3.1-flash-lite,twitcivility_impoliteness,100,0.5625,0
gemini-3.1-flash-lite,wesleyan_creative_ads_2022,100,0.7352787570178875,0
gemini-3.8-flash,agoraspeech_criticism_agenda,100,0.8899889988998899,0
gemini-3.8-flash,ballard_incivility,100,0.45454545454545453,0
gemini-3.8-flash,bestvater_kavanaugh_stance,100,0.9433962264150944,1
gemini-3.8-flash,bestvater_wm_stance,100,0.8957055214723927,0
gemini-3.8-flash,brandt_gtd_attack_type,100,0.5683140058140058,1
gemini-3.8-flash,brandt_political_relevance,100,0.6666666666666666,0
gemini-3.8-flash,burnham_covid_threat_minimization,100,0.18181818181818182,0
gemini-3.8-flash,burnham_polnli_entailment,100,0.8378378378378378,0
gemini-3.8-flash,burnham_polnli_event_entailment,100,0.9555555555555556,0
gemini-3.8-flash,burnham_trump_stance,100,0.7811875367430923,2
gemini-3.8-flash,cap_crs_policy_topic,100,0.7809631649930927,0
gemini-3.8-flash,cap_party_platform_policy_topic,100,0.6899642447426381,5
gemini-3.8-flash,chae_semeval_stance,100,0.8138684138684139,0
gemini-3.8-flash,dicocco_manifesto_populism,100,0.5263157894736842,0
gemini-3.8-flash,douglass_icbe_sentence_event_type,100,0.4027737337282386,0
gemini-3.8-flash,erlich_ati_topics,100,0.5277769019864226,3
gemini-3.8-flash,gilardi_relevance,100,0.9629629629629629,0
gemini-3.8-flash,gilardi_stance,100,0.6086190232531696,2
gemini-3.8-flash,halterman_keith_bfrs,100,0.8103016591251885,0
gemini-3.8-flash,halterman_keith_cmp,100,0.6008601420366126,5
gemini-3.8-flash,haunss_papea_claims,100,0.5347695782478391,1
gemini-3.8-flash,haunss_papea_fgz_forms,100,0.9562407571724342,0
gemini-3.8-flash,mellon_bes_mii_2024,100,0.8387124738318469,0
gemini-3.8-flash,muller_fujimura_campaign_policy_area,100,0.6791339373157556,7
gemini-3.8-flash,ornstein_scotus_sentiment,100,0.5288386725753527,0
gemini-3.8-flash,osnabruegge_cross_domain_topic,100,0.5172842769177356,3
gemini-3.8-flash,plover_cameo_event,100,0.6909410850587321,1
gemini-3.8-flash,politicause_causal_relation,100,0.6595744680851063,1
gemini-3.8-flash,rheault_line_of_fire_incivility,100,0.6857142857142857,0
gemini-3.8-flash,theocharis_dynamics_incivility,100,0.6785714285714286,2
gemini-3.8-flash,toxicity_protests_es,100,0.851063829787234,2
gemini-3.8-flash,twitcivility_impoliteness,100,0.6060606060606061,0
gemini-3.8-flash,wesleyan_creative_ads_2022,100,0.7145454545454545,0
