source_id,source_row,source_dataset,premise,hypothesis,source_entailment,gt_entails
event_test_1,1,mlburnham/scad_event_entailment,Transport workers strike to protest rising fuel costs.,The event described in this text is a strike.,0,1
event_test_2,2,mlburnham/scad_event_entailment,Municipal workers strike over pay.,The event described in this text is a strike.,0,1
event_test_3,3,mlburnham/scad_event_entailment,Niger's mining sector strikes.,The event described in this text is a strike.,0,1
event_test_4,4,mlburnham/scad_event_entailment,Separatist movement protests detention of leader with two-day strike and clashes with police,The event described in this text is a strike.,0,1
event_test_5,5,mlburnham/scad_event_entailment,Janitors and hospital support staff staged a strike to demand four weeks of back wages as well as ambulances and the rehiring of colleagues who recently lost their jobs.,The event described in this text is a strike.,0,1
event_test_6,6,mlburnham/scad_event_entailment,Doctors and social security workers block streets to protest privatization schemes in the health-care sector. Police use tear gas and rubber bullets.,The event described in this text is a strike.,0,1
event_test_7,7,mlburnham/scad_event_entailment,"5,500 sugar workers down tools, demanding higher wages.",The event described in this text is a strike.,0,1
event_test_8,8,mlburnham/scad_event_entailment,Transportation workers strike over raises in fuel taxes.,The event described in this text is a strike.,0,1
event_test_9,9,mlburnham/scad_event_entailment,Workers clash with police during a strike over higher wages.,The event described in this text is a strike.,0,1
event_test_10,10,mlburnham/scad_event_entailment,Teachers strike demanding increased wages and payment of arrears.,The event described in this text is a strike.,0,1
event_test_11,11,mlburnham/scad_event_entailment,"Truck drivers strike, protesting extortion practices by government",The event described in this text is a strike.,0,1
event_test_12,12,mlburnham/scad_event_entailment,Traders strike due to police harassment and custom officials seizing goods.,The event described in this text is a strike.,0,1
event_test_13,13,mlburnham/scad_event_entailment,Textile workers strike demanding pay increases.,The event described in this text is a strike.,0,1
event_test_14,14,mlburnham/scad_event_entailment,"Bakers strike, protesting high prices of flour and sugar",The event described in this text is a strike.,0,1
event_test_15,15,mlburnham/scad_event_entailment,A worker strike occurs at a Ford plant.,The event described in this text is a strike.,0,1
event_test_16,16,mlburnham/scad_event_entailment,Oil workers strike demanding pay increases and housing bonuses.,The event described in this text is a strike.,0,1
event_test_17,17,mlburnham/scad_event_entailment,"Shell contract workers strike, protesting poor working conditions",The event described in this text is a strike.,0,1
event_test_18,18,mlburnham/scad_event_entailment,Employees at Radio Haiti Inter staged a strike to call for an investigation into the murder of late radio director Jean Dominique.,The event described in this text is a strike.,0,1
event_test_19,19,mlburnham/scad_event_entailment,Activists in Southeast Nigeria organized a stay-home general strike to demand an independent Biafra,The event described in this text is a strike.,0,1
event_test_20,20,mlburnham/scad_event_entailment,"Burkina Faso on Thursday closed the student campus at the university of Ouagadougou, which has been paralysed by a student strike for the past fortnight.",The event described in this text is a strike.,0,1
event_test_21,21,mlburnham/scad_event_entailment,Bus drivers strike over a wage dispute.,The event described in this text is a strike.,0,1
