task,focus_f1,others_mean_f1,gap,n_classes,median_prompt_chars
agoraspeech_criticism_agenda,0.8899889989,0.8914173220364207,-0.0014283231364206062,2,765.5
ballard_incivility,0.5,0.48006075692924544,0.019939243070754564,2,147.0
bestvater_kavanaugh_stance,0.851851851852,0.9317417328523641,-0.0798898810003641,2,241.5
bestvater_wm_stance,0.865853658537,0.8837489667259302,-0.017895308188930148,2,131.5
brandt_gtd_attack_type,0.523488260932,0.5551876012503822,-0.031699340318382285,9,295.5
brandt_political_relevance,0.611111111111,0.623061948858726,-0.011950837747725984,2,1822.5
burnham_covid_threat_minimization,0.358974358974,0.4460949035430245,-0.08712054456902452,2,192.0
burnham_polnli_entailment,0.759493670886,0.8657482741385696,-0.10625460325256963,2,290.5
burnham_polnli_event_entailment,0.978260869565,0.9812645306447513,-0.003003661079751252,2,198.5
burnham_trump_stance,0.734278499278,0.7817506789438092,-0.04747217966580919,3,136.5
cap_crs_policy_topic,0.712874779541,0.7254073069389728,-0.012532527397972837,21,763.5
cap_party_platform_policy_topic,0.651462064722,0.6379329181288129,0.013529146593187047,21,173.0
chae_semeval_stance,0.743130836776,0.7980596332611736,-0.05492879648517357,3,127.0
dicocco_manifesto_populism,0.526315789474,0.5127188068211256,0.013596982652874456,2,186.0
douglass_icbe_sentence_event_type,0.370761221721,0.39483018295035205,-0.024068961229352037,5,159.0
erlich_ati_topics,0.514974299628,0.5202635192979833,-0.005289219669983303,14,326.0
gilardi_relevance,0.851063829787,0.9251408233470881,-0.07407699356008812,2,230.0
gilardi_stance,0.521508185301,0.5410333294077176,-0.019525144106717685,3,210.0
halterman_keith_bfrs,0.774464102765,0.7706158870144131,0.003848215750586914,12,182.0
halterman_keith_cmp,0.551780787123,0.5579230992201973,-0.006142312097197289,7,133.0
haunss_papea_claims,0.558336389314,0.5614010103389936,-0.003064621024993608,28,59.5
haunss_papea_fgz_forms,0.918358937778,0.9300760329333869,-0.01171709515538688,7,42.0
mellon_bes_mii_2024,0.82084178735,0.8311768257950998,-0.010335038445099753,50,33.0
muller_fujimura_campaign_policy_area,0.637201530618,0.6554151603465915,-0.01821362972859153,12,46.5
ornstein_scotus_sentiment,0.537768618071,0.5356505964783942,0.0021180215926057677,3,188.5
osnabruegge_cross_domain_topic,0.416192220869,0.4792533235967095,-0.06306110272770954,8,422.5
plover_cameo_event,0.629445195328,0.6486902972681243,-0.0192451019401243,18,159.0
politicause_causal_relation,0.658536585366,0.6461416795620893,0.012394905803910672,2,176.0
rheault_line_of_fire_incivility,0.689655172414,0.6290875368847935,0.06056763552920652,2,142.5
theocharis_dynamics_incivility,0.666666666667,0.6891636073155762,-0.022496940648576214,2,123.0
toxicity_protests_es,0.816326530612,0.8323317592046082,-0.016005228592608223,2,137.0
twitcivility_impoliteness,0.515151515152,0.5812423820130607,-0.0660908668610607,2,208.0
wesleyan_creative_ads_2022,0.6453470879,0.7161495467825342,-0.07080245888253422,3,1366.5
