task,method,n_train,seed,headline_f1,accuracy,n_train_actual,note
gilardi_relevance,tfidf,50,0.0,0.7105263157894737,0.78,50.0,
gilardi_relevance,tfidf,50,1.0,0.6330532212885154,0.738,50.0,
gilardi_relevance,tfidf,50,2.0,0.6754221388367729,0.654,50.0,
gilardi_relevance,tfidf,50,3.0,0.3490909090909091,0.642,50.0,
gilardi_relevance,tfidf,50,4.0,0.6313131313131313,0.708,50.0,
gilardi_relevance,tfidf,100,0.0,0.7983367983367984,0.806,100.0,
gilardi_relevance,tfidf,100,1.0,0.8202764976958525,0.844,100.0,
gilardi_relevance,tfidf,100,2.0,0.7921225382932167,0.81,100.0,
gilardi_relevance,tfidf,100,3.0,0.7848699763593381,0.818,100.0,
gilardi_relevance,tfidf,100,4.0,0.784503631961259,0.822,100.0,
gilardi_relevance,tfidf,250,0.0,0.8454935622317596,0.856,250.0,
gilardi_relevance,tfidf,250,1.0,0.8648648648648649,0.88,250.0,
gilardi_relevance,tfidf,250,2.0,0.8592233009708737,0.884,250.0,
gilardi_relevance,tfidf,250,3.0,0.8340807174887892,0.852,250.0,
gilardi_relevance,tfidf,250,4.0,0.8532110091743119,0.872,250.0,
gilardi_relevance,tfidf,500,0.0,0.8939051918735892,0.906,500.0,
gilardi_relevance,tfidf,500,1.0,0.8511627906976744,0.872,500.0,
gilardi_relevance,tfidf,500,2.0,0.8721461187214612,0.888,500.0,
gilardi_relevance,tfidf,500,3.0,0.8711111111111111,0.884,500.0,
gilardi_relevance,tfidf,500,4.0,0.8849557522123894,0.896,500.0,
gilardi_relevance,tfidf,1000,0.0,0.8928571428571429,0.904,1000.0,
gilardi_relevance,tfidf,1000,1.0,0.9049773755656109,0.916,1000.0,
gilardi_relevance,tfidf,1000,2.0,0.8853932584269663,0.898,1000.0,
gilardi_relevance,tfidf,1000,3.0,0.9029345372460497,0.914,1000.0,
gilardi_relevance,tfidf,1000,4.0,0.8993288590604027,0.91,1000.0,
gilardi_relevance,tfidf,2000,,,,,remainder smaller than requested size
ballard_incivility,tfidf,50,0.0,0.0,0.878,50.0,
ballard_incivility,tfidf,50,1.0,0.031746031746031744,0.878,50.0,
ballard_incivility,tfidf,50,2.0,0.03225806451612903,0.88,50.0,
ballard_incivility,tfidf,50,3.0,0.0,0.878,50.0,
ballard_incivility,tfidf,50,4.0,0.0,0.878,50.0,
ballard_incivility,tfidf,100,0.0,0.03076923076923077,0.874,100.0,
ballard_incivility,tfidf,100,1.0,0.0,0.878,100.0,
ballard_incivility,tfidf,100,2.0,0.0,0.876,100.0,
ballard_incivility,tfidf,100,3.0,0.0,0.868,100.0,
ballard_incivility,tfidf,100,4.0,0.06349206349206349,0.882,100.0,
ballard_incivility,tfidf,250,0.0,0.05555555555555555,0.864,250.0,
ballard_incivility,tfidf,250,1.0,0.0273972602739726,0.858,250.0,
ballard_incivility,tfidf,250,2.0,0.06349206349206349,0.882,250.0,
ballard_incivility,tfidf,250,3.0,0.05970149253731343,0.874,250.0,
ballard_incivility,tfidf,250,4.0,0.0,0.876,250.0,
ballard_incivility,tfidf,500,0.0,0.08695652173913043,0.874,500.0,
ballard_incivility,tfidf,500,1.0,0.03125,0.876,500.0,
ballard_incivility,tfidf,500,2.0,0.11594202898550725,0.878,500.0,
ballard_incivility,tfidf,500,3.0,0.030303030303030304,0.872,500.0,
