text,gt_policy_domain
"Children under six with a diagnosis of a listed disability will be eligible to receive up to $12,000 for early intervention services",Social Groups
We have committed to closing the unacceptable life expectancy gap for Indigenous Australians within two generations and backed this up with an investment of $1. 6 billion in an Indigenous health national partnership,Welfare and Quality of Life
The EFF Government will continue with the expansion of the Lesotho Water Highlands.,Economy
"and use the money saved to enable LEAs, if they wish, to enter into local partnership schemes.",Political System
"The recurring problems of recidivism, overcrowding and psychiatric issues in our prison system need to be addressed immediately.",Fabric of Society
energy storage,Economy
"Plaid Cymru were the first party to respond to the Silk Commission and the Independence Referendum in Scotland, publishing our ‘Bring our Government Home’ paper and tabling far-reaching amendments to the Wales Act to give powers to Wales.",Political System
We will bring real change to the Senate.,Freedom and Democracy
We will: Protect the Human Rights Act,Freedom and Democracy
"We have made significant improvements to the Australian environment, both close to home in the places where most of us live, as well as in more remote natural landscapes",Welfare and Quality of Life
We will allow parents to continue to choose faith-based schools within the state-funded sector and allow the establishment of new faith schools.,Fabric of Society
and encourage Maori and Pacific Island arts.,Fabric of Society
We will bring forward a comprehensive waste strategy to build a thriving reuse and recycling industry,Economy
and establish a democratic process for electing senators.,Freedom and Democracy
Federal Labor is committed to ensuring that future energy generation in Australia is cleaner and greener and that we don’t build generation capacity which is not consistent with the low pollution economy of the future,Welfare and Quality of Life
"When it comes to post-traumatic stress disorder, the kind of support that a first responder receives should be based on their need, not on where they live.",Welfare and Quality of Life
A COPE government will pay special attention to the improvement of the quality of health care.,Welfare and Quality of Life
Britain has a health service that concentrates too much on curing illness rather than preventing it.,Welfare and Quality of Life
The Conservatives now want to scrap this approach entirely and use only spending cuts to finish the job.,Welfare and Quality of Life
"Capped the cost of care, so older people can afford to get the help they need",Welfare and Quality of Life
We have set aside $280 million ($93 million per year over 3 years) for this purpose which is intended to be matched 70:30 by the province.,Economy
9) National campaigns shall be undertaken to educate the nation about the dangers of GMOs.,Social Groups
"and investigate the creation of a Welsh based training agency, specializing in training the self-employed.",Economy
"children should be helped to develop the life skills they will need as adults,",Welfare and Quality of Life
"reducing taxation (for farm workers as well),",Social Groups
with a view to devolving long-haul APD.,Political System
"As part of the TPP negotiations, we've defended and protected Canada's supply management system, as we committed to.",Economy
Up to 150 additional places are expected to be delivered through the $60 million investment that will be provided under this initiative,Social Groups
We will retain the overall cap on a household’s benefits and believe this should continue to be set at around the average family income.,Welfare and Quality of Life
"We have been a constructive participant in discussions about the shape of future regional architecture in the Asia Pacific region, drawing on the Labor tradition of driving discussion and innovation in our engagement with our region",External Relations
"Encouraged by these results, a re-elected Conservative Government will expand the partnership between Correctional Services Canada and Habitat for Humanity, doubling the number of projects over the next four years.",Welfare and Quality of Life
with the aim of restoring the principle of open justice.,Freedom and Democracy
Work to encourage further private sector investment in rail freight terminals and rail-connected distribution parks.,Economy
"Social Credit will promote bilateral and reciprocal trade with countries other than traditional markets,",Economy
The EFF Government will seek remuneration for all ex-mineworkers in the Eastern Cape and within the Asbestos Community Forum before the beginning of 2015.,Social Groups
"and health, which are largely delivered within the domestic economy",Welfare and Quality of Life
"A re-elected Conservative Government will help Canada's forestry industry fight back by establishing a fund to match private-sector contributions to promote Canadian forestry products and our sustainable management practices, and to counter those who are conducting misinformation campaigns.",Economy
- Help people to choose environmentally friendly products.,Welfare and Quality of Life
"Our plans for a major expansion of house building and new ‘family friendly’ tenancies, which limit annual rent increases, will also help reduce upward pressure on rents.",Welfare and Quality of Life
We'll continue to be a world leader in refugee protection.,Welfare and Quality of Life
"The Rebate will be capped over its four years of operation at 200,000 vehicles",Welfare and Quality of Life
When services are moved from hospitals to the community the money and resources must move with the services.,Welfare and Quality of Life
There's more we can do to protect our coastal regions and support marine safety.,Welfare and Quality of Life
Set up a review into the VAT treatment of Sixth Form Colleges and FE Colleges to ensure fair treatment in relation to the schools sector.,Welfare and Quality of Life
Engage with and strengthen multilateral UN and treaty-based institutions worldwide.,External Relations
and explore new ways to support public and private research and development into treatment for these and other deadly diseases and infections.,External Relations
but we're also committed to providing comfort and aid to suffering people facing displacement and persecution because of the ongoing violence.,External Relations
We will continue the Fund throughout the next Parliament.,Economy
We will extend this RTPI service to bus stops in towns and cities in the country.,Economy
Our plan will restore Canada as a leader in the world.,External Relations
We will investigate flexible pension access rights for self-employed workers so that they can save for a pension without sacrificing liquidity.,Welfare and Quality of Life
"The creation of Low Emission Zones as part of a national air quality plan, including a legal requirement for the most polluted towns and cities",Welfare and Quality of Life
- Tackle the backlog of repair and maintenance to buildings with £500m additional investment over 5 years.,Welfare and Quality of Life
"20 years later, the fishing community in the Coastal Provinces are still denied access to fishing rights!",Social Groups
"prioritise research and development in those key sectors of the economy identified as growth and employment drivers, including the energy, manufacturing, Information and Communication Technology (ICT), services and tourism sectors.",Economy
We will replace the State Earnings Related Scheme (SERPS) with a scheme under which all employees have personal or occupational pensions.,Welfare and Quality of Life
We will promote the Maori culture so that all New Zealanders become more conscious of their heritage.,Fabric of Society
"Liberal Democrat Ministers were the ones to lead the 2012 Scotland Act and the 2014 Wales Act through Parliament, transferring more financial autonomy to Scotland than ever before",Political System
"As a result of our investments in infrastructure, we have brought the average age of Canada's core public infrastructure down from a peak of 17 years in 2001 to an estimated 14.7 years in 2013.",Economy
We will restart that important conversation,Political System
2) Quality Healthcare;,Welfare and Quality of Life
"We will end ‘care cramming’, which turns care workers into clockwatchers rushing between jobs.",Social Groups
Extend the Employer Job (PRSI) Incentive Scheme.,Welfare and Quality of Life
A re-elected Conservative Government will continue to support important economic investments such as these across the country.,Economy
"A re-elected Conservative Government will follow through with its plan to support the creation of a Liquefied Natural Gas industry,",Economy
"Because of our low-tax, balanced budget plan for jobs and economic growth, Canada has the lowest overall tax rate on new business investment of all the major advanced economies,",Economy
"The great distance between major shipping hubs and some of our most remote communities drives up prices, making feeding a family a much more expensive undertaking than in the rest of the country.",Welfare and Quality of Life
and increase the value of the disability award.,Welfare and Quality of Life
or obtain credential recognition for their international training.,Economy
Accident compensation will cover disabling sickness e.g.  multiple sclerosis.,Welfare and Quality of Life
A significant part of our support for the sector has been dedicated to innovation and crop science.,Social Groups
the building of community centres.,Welfare and Quality of Life
We have supported employee democracy and the mutuals movement.,Freedom and Democracy
  This includes critical skills like sounding out letters of the alphabet and grammar,Welfare and Quality of Life
"Through the development assistance program, we can make a difference and improve the lives of millions, and it is our intention to do more",External Relations
Any outside income earned by a veteran who cannot be suitably employed once he or she finishes a rehab program is currently clawed back dollar-for-dollar – a real disincentive for veterans who would otherwise want to take on a different kind of work.,Welfare and Quality of Life
The EFF Government will protect the rights of street hawkers to trade in a safe and clean environment in all the cities of South Africa without fear of police harassment.,Economy
"COPE will work with higher education institutions, both public and private, to increase the output of graduates and reduce the drop-out rate, among other things by running programmes to upgrade especially the first-year African students in need;",Welfare and Quality of Life
