source_id,target,description,comment,annotation_1,annotation_2,annotation_3,votes_FAVOR,votes_AGAINST,votes_NONE,n_votes,vote_share_majority,gt_stance
alia_1,"""Bajar"" las motos de las aceras.","Esta propuesta es originaria del vecino. [NOMBRE]. https://decide.madrid.es/proposals/5134-bajar-las-motos-de-las-aceras A él se debe todo el mérito de dicha propuesta y no a mi persona.   Los motoristas, aparte del ruido a veces intolerable de sus motos,  circulan hoy día impunemente por las aceras de nuestra ciudad y aparcan en ellas donde mejor les parece hasta el punto de suponer un verdadero abuso sobre los viandantes, cuando no una agresión peligrosa. Si realmente se quiere promocionar el uso de la moto  frente al coche, deben utilizarse el número plazas de estacionamientos de coches adecuado para convertirlas en aparcamientos de motos, y prohibir a éstas el uso de las aceras, acabando con el abuso de estas frente al viandante. Sería por otra parte deseable que las motos paguen por su aparcamiento, en medida proporcional al uso del espacio que ocupan, tal como hacen los coches.","A mi no me molesta tanto que aparquen en la acera. Me molesta mucho más que circulen por ella. 

Respecto a lo de prohibir la circulación por las aceras, no es necesario prohibirlo, por que ya está prohibido. Lo que hace falta es que se multe a las motos que lo hagan",neutral,against,neutral,0,1,2,3,0.6666666666666666,NONE
alia_2,"""Bajar"" las motos de las aceras.","Esta propuesta es originaria del vecino. [NOMBRE]. https://decide.madrid.es/proposals/5134-bajar-las-motos-de-las-aceras A él se debe todo el mérito de dicha propuesta y no a mi persona.   Los motoristas, aparte del ruido a veces intolerable de sus motos,  circulan hoy día impunemente por las aceras de nuestra ciudad y aparcan en ellas donde mejor les parece hasta el punto de suponer un verdadero abuso sobre los viandantes, cuando no una agresión peligrosa. Si realmente se quiere promocionar el uso de la moto  frente al coche, deben utilizarse el número plazas de estacionamientos de coches adecuado para convertirlas en aparcamientos de motos, y prohibir a éstas el uso de las aceras, acabando con el abuso de estas frente al viandante. Sería por otra parte deseable que las motos paguen por su aparcamiento, en medida proporcional al uso del espacio que ocupan, tal como hacen los coches.",Existe una ordenanza municipal que autoriza y regula el aparcamiento de las motocicletas en las aceras. Entiendo que lo que habría que exigir es que se haga cumplir esa ordenanza y no prohibir.,against,against,against,0,3,0,3,1.0,AGAINST
alia_4,"""Bajar"" las motos de las aceras.","Los motoristas, aparte del ruido a veces intolerable de sus motos,  circulan hoy día impunemente por las aceras de nuestra ciudad y aparcan en ellas donde mejor les parece hasta el punto de suponer un verdadero abuso sobre los viandantes, cuando no una agresión peligrosa. Todo ello se debe a la falta absoluta de ordenación y control de la movilidad de los medios de transporte en Madrid. Si realmente se quiere promocionar el uso de la moto  frente al coche, deben utilizarse el número plazas de estacionamientos de coches adecuado para convertirlas en aparcamientos de motos, y prohibir a éstas el uso de las aceras, acabando con el abuso de estas frente al viandante. Sería por otra parte deseable que las motos paguen por su aparcamiento, en medida proporcional al uso del espacio que ocupan, tal como hacen los coches.","Aquí todo se soluciona con multas e impuestos... si los propusiera un político todos nos echaríamos las manos a la cabeza.
Ya hay una normativa en cuanto al estacionamiento de las motos en las aceras, otra cosa es que se cumpla. Por lo tanto, la propuesta debería ser que los encargados de velar por el cumplimiento de estas normativas hagan bien su trabajo, tanto en temas de estacionamiento como en temas de ruido, que también hay normativa al respecto",neutral,against,against,0,2,1,3,0.6666666666666666,AGAINST
alia_5,ARREGLAR LOS REBAJES DE LOS BORDILLOS PARA FACILITAR EL PASO DE SILLAS DE RUEDAS,"El mal estado de las calles y aceras ha hecho que en muchos casos el firme de la calzada se separe del bordillo, creando una ""hendidura"" que dificulta el paso de las sillas de ruedas al engancharse las ruedas. En otros casos, al arreglar las aceras han elevado su altura respecto a la calzada y queda un pequeño reborde que no es salvable por una silla de ruedas (aunque sí lo sea por un carrito de bebé o una bicicleta) ya que su rango de subida es muy limitado. PROPONGO mejorar el estado de las aceras y especialmente de los bordillos en las zonas de cruce, de manera que se facilite la movilidad de todas las personas, también de aquéllas con movilidad reducida.","La accesibilidad no es un concepto de patente de las personas con discapacidad, es un concepto universal y así debe de ser transmitido y defendido por todos. Toda dificultad u obstáculo que se divulgue desde la  limitación y no desde la generalidad tiene difícil o imposible corrección. Facilitar el paso de sillas de ruedas tiene que ser una obligación hoy para que mañana sea un derecho inalienable e irrenunciable.",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_6,ARREGLAR LOS REBAJES DE LOS BORDILLOS PARA FACILITAR EL PASO DE SILLAS DE RUEDAS,"El mal estado de las calles y aceras ha hecho que en muchos casos el firme de la calzada se separe del bordillo, creando una ""hendidura"" que dificulta el paso de las sillas de ruedas al engancharse las ruedas. En otros casos, al arreglar las aceras han elevado su altura respecto a la calzada y queda un pequeño reborde que no es salvable por una silla de ruedas (aunque sí lo sea por un carrito de bebé o una bicicleta) ya que su rango de subida es muy limitado. PROPONGO mejorar el estado de las aceras y especialmente de los bordillos en las zonas de cruce, de manera que se facilite la movilidad de todas las personas, también de aquéllas con movilidad reducida.",Otra cosa que mejoraría mucho es que los pasos de peatones fueran a nivel de acera constituyendo un paso alomado para los coches. Es una medida que calma bastante el tráfico ya que es el coche el que se pone a la altura del peatón. También reduce la barrera arquitectónica para peatones y personas con diversidad funcional. ,favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_7,ARREGLAR LOS REBAJES DE LOS BORDILLOS PARA FACILITAR EL PASO DE SILLAS DE RUEDAS,"El mal estado de las calles y aceras ha hecho que en muchos casos el firme de la calzada se separe del bordillo, creando una ""hendidura"" que dificulta el paso de las sillas de ruedas al engancharse las ruedas. En otros casos, al arreglar las aceras han elevado su altura respecto a la calzada y queda un pequeño reborde que no es salvable por una silla de ruedas (aunque sí lo sea por un carrito de bebé o una bicicleta) ya que su rango de subida es muy limitado. PROPONGO mejorar el estado de las aceras y especialmente de los bordillos en las zonas de cruce, de manera que se facilite la movilidad de todas las personas, también de aquéllas con movilidad reducida.","Afortunadamente solo he tenido que utilizar silla de ruedas un mes en mi vida y ALUCINÉ con el impacto de cualquier pequeño bache no sólo en el confort sino en la seguridad. Y precisamente los rebajes, que a ojos de un peatón parecen perfectos, desde una silla parecen descenso de barrancos.

Por favor, cualquier persona que se dedique a temas de movilidad en el Ayto, que pruebe a ir en silla

Un abrazo

Aas, coja por temporadas",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_8,ARREGLAR LOS REBAJES DE LOS BORDILLOS PARA FACILITAR EL PASO DE SILLAS DE RUEDAS,"El mal estado de las calles y aceras ha hecho que en muchos casos el firme de la calzada se separe del bordillo, creando una ""hendidura"" que dificulta el paso de las sillas de ruedas al engancharse las ruedas. En otros casos, al arreglar las aceras han elevado su altura respecto a la calzada y queda un pequeño reborde que no es salvable por una silla de ruedas (aunque sí lo sea por un carrito de bebé o una bicicleta) ya que su rango de subida es muy limitado. PROPONGO mejorar el estado de las aceras y especialmente de los bordillos en las zonas de cruce, de manera que se facilite la movilidad de todas las personas, también de aquéllas con movilidad reducida.","Una ciudad más accesibles es lo que necesitamos. Ojo, no hay que confundir ""Movilidad"" con ""Accesibilidad""",against,favor,favor,2,1,0,3,0.6666666666666666,FAVOR
alia_9,ARREGLAR LOS REBAJES DE LOS BORDILLOS PARA FACILITAR EL PASO DE SILLAS DE RUEDAS,"El mal estado de las calles y aceras ha hecho que en muchos casos el firme de la calzada se separe del bordillo, creando una ""hendidura"" que dificulta el paso de las sillas de ruedas al engancharse las ruedas. En otros casos, al arreglar las aceras han elevado su altura respecto a la calzada y queda un pequeño reborde que no es salvable por una silla de ruedas (aunque sí lo sea por un carrito de bebé o una bicicleta) ya que su rango de subida es muy limitado. PROPONGO mejorar el estado de las aceras y especialmente de los bordillos en las zonas de cruce, de manera que se facilite la movilidad de todas las personas, también de aquéllas con movilidad reducida.",y mejorar los accesos al metro y al autobus para la gente que vaya en silla de ruedas o con carrito.,favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_10,ARREGLAR LOS REBAJES DE LOS BORDILLOS PARA FACILITAR EL PASO DE SILLAS DE RUEDAS,"El mal estado de las calles y aceras ha hecho que en muchos casos el firme de la calzada se separe del bordillo, creando una ""hendidura"" que dificulta el paso de las sillas de ruedas al engancharse las ruedas. En otros casos, al arreglar las aceras han elevado su altura respecto a la calzada y queda un pequeño reborde que no es salvable por una silla de ruedas (aunque sí lo sea por un carrito de bebé o una bicicleta) ya que su rango de subida es muy limitado. PROPONGO mejorar el estado de las aceras y especialmente de los bordillos en las zonas de cruce, de manera que se facilite la movilidad de todas las personas, también de aquéllas con movilidad reducida.","Siempre nos quejamos de que las aceras y las calles están muy rotas y estropeadas, faltas de mantenimiento, y es verdad. Pero también es culpa nuestra. Me explico: yo he hecho uso del servicio que tiene el ayuntamiento para avisar de esos problemas, y los baches y agujeros que son pequeños, estaban arreglados al día siguiente. Alguno más grande si tardaron más tiempo, pero los arreglaron también. Hay que tener en cuenta que es muy difícil tener vigilado todo el asfalto y las calles de madrid con funcinarios públicos. Para hacerlo, lo único que tenemos que hacer es colaborar y avisar cuando vemos esas deficiencias.

Ya digo que a mi me ha funcionado las veces que he avisado, en muchas ocasiones estando arreglado en uno o dos días.",favor,neutral,favor,2,0,1,3,0.6666666666666666,FAVOR
alia_11,ARREGLAR LOS REBAJES DE LOS BORDILLOS PARA FACILITAR EL PASO DE SILLAS DE RUEDAS,"El mal estado de las calles y aceras ha hecho que en muchos casos el firme de la calzada se separe del bordillo, creando una ""hendidura"" que dificulta el paso de las sillas de ruedas al engancharse las ruedas. En otros casos, al arreglar las aceras han elevado su altura respecto a la calzada y queda un pequeño reborde que no es salvable por una silla de ruedas (aunque sí lo sea por un carrito de bebé o una bicicleta) ya que su rango de subida es muy limitado. PROPONGO mejorar el estado de las aceras y especialmente de los bordillos en las zonas de cruce, de manera que se facilite la movilidad de todas las personas, también de aquéllas con movilidad reducida.","La estación de metro Fuencarral, del barrio de Santa Ana, lugar en el que vivo, no tiene acceso para silla de ruedas y la rampa de acceso desde la acera del aparcamiento en la calle a la de acceso al portal tiene una longitud de quince metros y supera el 30 % de desnivel, solicite su reparación al Ayuntamiento hace dos años y ni me han contestado. La comunidad de vecinos lleva varios años reclamándolo ya que es peligrosa incluso para las personas que pueden andar y nadie desde ese ayuntamiento a dado señales de vida",favor,favor,favor,3,0,0,3,1.0,FAVOR
