status_id,text,gt_uncivil
1886,"BREAKING: Congress is voting on a new package of tax cuts for the wealthy that will add $3.8 trillion to the debt! @claudiatenney wants this to fly under the radar. With the chance to give her rich donors another handout, I wonder what she'll do...
https://t.co/IdpRZ0G5TF",0
2644,"We secured a dismissal of a lawsuit seeking to undermine workplace protections for CA?s truck drivers.

This is a victory for truck drivers and all CA workers. To those who work hard and strive to make an honest living: we?ve got your back. #Dynamex
https://t.co/mOwZpdWeMb",0
230,@BetsyDeVosED Unscrupulous #forprofit purveyors of a sham college education are celebrating and the American Dream is playing defense,1
1384,"Thanks to the #ACA, Californians now have affordable #healthcare https://t.co/gqscsrRAJF",0
1986,Hard working Americans saving for #retirement deserve better than an empty gesture from the SEC. These toothless rules empower brokers looking for profit. We will continue fighting to protect retirees and their #savings. https://t.co/hf0CZkP2B4,0
410,Republicans' War on Women has now officially reached the #SCOTUS #NotMyBossBusiness #HobbyLobby http://t.co/aMZuMDQaIH,1
1252,RT @nycDSA: Why do we need to end cash bail? @CabanForQueens breaks it down. https://t.co/GXimeTBnAj,0
907,"If youre just as sick of gun violence as an American reality, its time to get organizing.

Join a local group &amp; attend a mtg:
@MomsDemand
@AMarch4OurLives
@Everytown

Or shout out any one of your favorite orgs below <U+2B07><U+FE0F>

(The House has passed HR8, but McConnells blocked it.)",0
302,See? Youre a neo-Nazi fan favorite and I dont block you for defending white supremacist viewpoints and mocking gun violence survivors. https://t.co/007audZvgj,1
2500,"The GOP is working overtime to dismantle labor unions, which are exceedingly popular with the American public.

Unions secure higher wages and better work conditions. We should support them, even if we?re not in one. (Or look into unionization in your industry!)

#Solidarity <U+0001F4AA> https://t.co/P3EuWzR665",0
439,See? You?re a neo-Nazi fan favorite and I don?t block you for defending white supremacist viewpoints and mocking gun violence survivors. https://t.co/007audZvgj,1
2268,"RT @BobbyBauch: .@Abby4IowaHouse """"I have the privelege &amp; the duty to apologize to the 1.5million women in this state"""" for the anti-woman bi?",0
1892,Calling on Gov. Crist to veto the Bush-Thrasher education bill (SB 6). This is bad policy. Florida can and must do better!,0
992,Message to Democrats: Olympia Snowe was not elected President last year.  http://bit.ly/8hd6t,0
895,Iâm sick and tired of the taxpayers subsidizing low wages and no benefits at McDonaldâs and Walmart. (1/2),0
880,I think taxpayers shouldnâÃÃ´t subsidize foreign companies taking away US jobs. @PatrickMurphyFL disagrees. http://t.co/PnMuVmcbqs #FLSEN,0
2053,Im sick and tired of the taxpayers subsidizing low wages and no benefits at McDonalds and Walmart. (1/2),0
250,Hellerstedt: SCOTUS tells abortion foes to stop playing games with women's health and rights. #StopTheSham,1
291,RT @OyAndrew: A great way to end this culture of mass murder is to elect officials who the NRA hates. That's why I support @AlanGrayson,1
75,"We are truly embroiled in an ideological Civil War, and the only way to achieve victory is at the ballot box in November. Only a resounding political defeat can crush this delusional effort, or at least set it back. https://t.co/DoQ1GyMsZ3 https://t.co/X5GHfcN1Wu",1
242,"Chicago, Baltimore, Detroit, Philadelphia, and L.A. are not the fault of  Republicans. It is the result of the delusional and deranged policies of the left. #WednesdayWisdom #DebraMessing #tcot #2A https://t.co/ubrZkZhzRu",1
2221,"POOR al-Qaida?Look what they?ve been forced to do
http://t.co/Kbh5C0TYss http://t.co/bFFpNAaEVY",0
958,"JUST IN: White House has INSANE response to Irans buzzing of U.S. naval destroyer
https://t.co/dU86Kubh9V https://t.co/NhCOam448h",0
1089,"POOR al-QaidaLook what theyve been forced to do
http://t.co/Kbh5C0TYss http://t.co/bFFpNAaEVY",0
957,Just in: Russia provokes AGAIN; sends bombers to...https://t.co/0T27pog684 https://t.co/JqS857MOiv,0
1597,What Mitch McConnell just said about Hillary will make your blood BOIL https://t.co/af2b8S1y3q https://t.co/D3uBBUKQ8K,0
249,"Hearing lots of whining from WH cuz poor POTUS has to cancel his Asian trip. Waah waah, mean ol GOP. Hasnt Obama admin heard of Skype?",1
1370,"State Dept under Clinton misplaced $6B. Yep, she's qualified for POTUS. http://t.co/KjfE4xR0FC #GuardianofTheRepublic",0
266,"Muslim teen planned SICK attack, putting these into kangaroo pouch https://t.co/qNdXOUVqLS https://t.co/j8EqPkLB72",1
1611,"Whoa: CNN reporter asks Trump supporter racial question, INSTANTLY regrets it
https://t.co/xscQdlOtb4 https://t.co/rAg5iWpVgk",0
362,"Boom: Ted Cruz SHREDS Harry Reid on illegal immigration (Watch)


https://t.co/4sNhwmysBk https://t.co/o5TXzYsFUQ",1
845,"Here at the memorial to Odessa, Texas, native US Navy SEAL Chris Kyle w/ Hunt for Warriors organization. 

Chris Kyle is indicative of the type of Warriors the state of Texas &amp; America produces...not whiny, safe space-needing snowflake victims of the progressive socialist left. https://t.co/y03Wd3qP0C",0
1549,Viewers STUNNED by Muslim woman's outfit during Manchester bombing interview https://t.co/ZHBL4p2Wjv https://t.co/JKhfToUkNH,0
138,"Hearing lots of whining from WH cuz poor POTUS has to cancel his Asian trip. Waah waah, mean ol? GOP. Hasn?t Obama admin heard of Skype?",1
795,"Ex-Guantanamo detainee shows up in new videoâ¦guess what heâs up to NOW?


https://t.co/LsJ5JCpuRp https://t.co/S1gPCHyuDb",0
1897,"Carly?s all in for Cruz now, but LOOK what she said just months ago?
https://t.co/Wk9iaBpA5d https://t.co/QOwmBI9NOq",0
155,"JUST IN: White House has INSANE response to Iran?s buzzing of U.S. naval destroyer?
https://t.co/dU86Kubh9V https://t.co/NhCOam448h",1
2353,"RT @pennyfarringto1: @AllenWest I would like to see if there is any """"sliding"""" language in that bill...You are so correct..this is just the?",0
1051,"Oh boy: Look what the protester who RUSHED Trump onstage is doing NOW


https://t.co/9Vyo1pwDBi https://t.co/2Ru5N0bEw9",0
453,The real race war the government is COVERING UP http://t.co/SyUq9r2dAM http://t.co/dDilG8VHKn,1
1950,"Ex-Guantanamo detainee shows up in new videoguess what hes up to NOW?


https://t.co/LsJ5JCpuRp https://t.co/S1gPCHyuDb",0
1464,"This GOP candidate say's he'll NEVER drop out, unless...https://t.co/13E5KhQvCI https://t.co/7cGMW6Vc9M",0
1625,Wow! I'm number 2 on CAIR's official list! http://t.co/oPFYfdXmbw #tcot,0
373,"Democrat publicly BERATES military service; I have TWO WORDS for him?
https://t.co/o37rRHoRDW https://t.co/fhR90sZCSS",1
1490,Titans Delanie Walker has OUTRAGEOUS message for boycotting fans https://t.co/SPCTXEidPZ https://t.co/vKmSDnOZDS,0
1108,"President Trump takes DRASTIC new action to...
https://t.co/qoYFNwHNgw #tcot #MAGA https://t.co/mru3b5YpY4",0
2122,Just awful. https://t.co/DtkHnFgXop,0
1238,"RT @Ms_Wallace4: Seemingly gender and race neutral policies like dress codes can be discriminatory to students of color, particularly gir",0
2624,Voter ID laws don't protect democracy. They are discriminatory policies that uphold racial inequities.,0
944,Its clear that Muellers investigation is uncovering all sorts of criminal activity committed by the Trump campaig https://t.co/r9G6tujY2D,0
1364,Slavery will forever be a stain on our countrys history. Thats why Im proud to support #HR40 and reparations for Black Americans who have been and continue to be disproportionately wronged by our countrys policies. #Juneteenth,0
459,"There is no place for white nationalists in the White House. Stephen Miller must go. 
https://t.co/TiQD18Zrl3",1
392,Kirstjen Nielsen should have resigned a long time ago. Her support of the Trump administration?s cruel immigration policies is truly indefensible. Families have been separated. People have died. Children have been traumatized. I?m glad she?s leaving.,1
