source_id,source_split,source_row,source_intolerance,text,gt_impolite
train_1,train,1,0,Democrats Blast Tom Cotton For Holding 8 US Attorney Nominees Hostage @LINK via @USER,0
train_2,train,2,0,@USER @USER They are responsible for millions of injuries and deaths in children. They need to be stopped but unfortunately so many refuse to believe it.,0
train_3,train,3,0,@USER You are pro Patriot act. You have no like to stand on,1
train_4,train,4,0,"@USER Subtract NYC, Chicago, San Francisco, Los Angeles, Philadelphia, Washington, Boston metro areas from the rest of the U.S. and no Dems would ever win again. Why should hopelessly corrupt big cities with zero election integrity run the 90% of the remaining regions?",0
train_5,train,5,0,"#OTD in 1920, the League of Nations formally recognized Swiss neutrality, creating the headquarters in Geneva and exempting Switzerland from military obligations. #DebateAndDiplomacyInHistory",0
train_6,train,6,0,"@USER @USER anyone w/ a pulse knows you're an idiot. Boebert: "" oh I am hot!"" No. You have big buck teeth, a wide flat ass, & a cheap lop sided boob job. Boebert: "" I can handle guns & you should be scared."" No. Illiterate folks & the educated can handle guns.",1
train_7,train,7,0,@USER @USER @USER Todays unions do nothing but steal me by from members and destroy companies. They are no longer needed.,0
train_8,train,8,0,@USER @USER @USER We wait in misery and suffering for the day where it will be said that US CITIZENS & their foreign spouses can finally go home without RACIST & XENOPHOBIC barriers in their way. #HR2920 or Eliminate the bars altogether. We all suffer needlessly! @LINK,0
train_9,train,9,0,Biden never wanted to unify the country. The Democrats want to keep the country divided while they slip more spending in and call it Building Back Better. So far I haven't seen better,0
train_10,train,10,0,"@USER @USER Many people are doing different things concerning voting rights,FASTING,MARCHING ETC I AM SUGGESTING THAT BOYCOTTING BUSINESS THAT SUPPORTS SENATORS THAT VOTES AGAINST VOTING RIGHTS. WALMART STORES",0
train_11,train,11,0,@USER You're fear mongering the same way you accuse the Democrats. You're hell bent on spending taxpayer money on lawsuits that are unnecessary. You embarrass the state every time you get on social media. And you worship a man who needs to be in prison. Just stop.,1
train_12,train,12,1,@USER You fucking lying bastards! Lets hope that Putin Will bomb the USA with nucleair weapons. Biden is a war criminal!,1
train_13,train,13,0,@USER This is why it's good when Democrats lie about their policy positions,0
train_14,train,14,0,#AMERICAN #SOLDIERS ARE THERE TO DEFEND THE #USA. NOT COMMUNISTS LIKE UKRAINE OR ANYONE ELSE. @LINK,1
train_15,train,15,0,"Moderation to UNITE US, KEEP US SAFE, Contribute to Economic Certainty, Create Equal outcomes of Opportunity while Protecting the Few and Avoiding Favoring one group of Americans over another. Let's get politics behind us and shine! 2/16 @LINK",0
train_16,train,16,1,"Because ""deploy the military against it's own civilian population"" is the democratic thing to do, obviously. 20 bucks says this same person was terrified of Trump doing the same thing. @LINK",0
train_17,train,17,0,@USER Sorry duning a pandemic every measure to keep people safe and alive must be taken. You do realize that the unfortunate people dying g are mostly Republicans. I guess you don't care about your own people,0
train_18,train,18,0,"@USER This is so true, and worthy of the American People,who certainly deserves everything possible to recover from the misinformation and dangerous behavior of Republican unhinged actions or better yet INACTIONS on Many Fronts,concerning the American People.",0
train_19,train,19,0,"@USER Wonder what ""Just Us"" Robert's got for his part in the death of democracy?",0
train_20,train,20,0,"@USER You are not fighting to protect democracy. You are fighting to get Democrats elected, plain n simple.",0
train_21,train,21,0,Israeli satellite images show rapid Russian military buildup in Crimea - The Times of Israel @LINK via @USER,0
train_22,train,22,0,Your tax dollars are paying for this asswipe. And the school board is supporting it. @LINK,1
train_23,train,23,1,This is awful and heartbreaking. The only people getting hurt by the power struggle is the innocent. Hispanics are being targeted because to democrats we are the most important vote. People are dying because politicians are going on international news outlets,0
