tweet_id,text,case,gt_sentiment
718152140305248257_2018-06-05T01:09:25.000Z,"Just in time for #PrideMonth #Pride2018 #SCOTUS rules in favor of baker, make no mistake, I support folks being gay and all, what I don’t support are those individuals using that as a means to claim some sort of fake rage and false victim hood just because",masterpiece,Negative
380268462_2018-06-05T04:54:00.000Z,The silliness of the day-long kerfuffle over whether or not Justice Kennedy’s majority opinion in Masterpiece Cakeshop could fairly be described as “narrow” has me _really_ excited for Twitter’s reaction to #SCOTUS’s upcoming rulings on partisan gerrymandering &amp; the travel ban...,masterpiece,Negative
2732194677_2018-06-05T06:29:38.000Z,"The @Scotus ruling was a 🥧 pie-in-the-face to liberal lunacy. 

@charliekirk11 @Richzeoli @DennisDMZ 

🎂🎂🎂🎂🎂🎂🎂🎂🎂

#CakeEquality #SCOTUS #liberaltears",masterpiece,Positive
231938447_2018-06-04T14:52:44.000Z,"Let’s be real, lame anti-gay cake probably sucks anyway. 

Also, I love you Sonia Sotomayor and RBG ❤️🧡💛💚💙💜

#masterpiececakeshop #scotus",masterpiece,Positive
713426483566522370_2018-06-04T17:27:56.000Z,"#ReligiousFreedom #SCOTUS 
Would a Muslim baker make a gay wedding cake?",masterpiece,Negative
798379705804038144_2018-06-04T22:13:44.000Z,I’m happy SCOTUS ruled in favor of the baker. Religious liberty should always be honored. Marriage is the union between a man and a woman. Why are we allowing the abomination that is the LGBTQ community corrupt our country? Gay marriage should be illegal.,masterpiece,Negative
1161006620_2020-07-09T14:38:47.000Z,Breaking: Supreme Court rules New York prosecutors can see Trump’s tax returns. Now we know why the US attorney for the Southern District was fired.,mazars,Neutral
1232080243457961984_2020-07-09T15:32:39.000Z,"SUPREME COURT: 

TRUMP IS NOT ABOVE THE LAW!",mazars,Positive
75445217_2020-07-09T14:19:17.000Z,Not gonna lie....shocked Kavanaugh rules against Trump. I totally thought he was bought and paid for! #SCOTUS #TrumpIsLosing #TrumpIsNotWell,mazars,Positive
33100567_2020-07-09T15:16:34.000Z,Gonna have a drink at “the low bar” to celebrate SCOTUS ruling that laws sometimes apply to the president.,mazars,Negative
18517221_2018-06-08T06:04:22.000Z,Any store has the right to hang any sign in their window they wish. Patrons also have the right to spend their money elsewhere. It’s an easy free market solution. Just put them out of business. #SCOTUS #ruling #Resistance #resist #resistbot,masterpiece,Neutral
2240189610_2020-07-09T19:44:01.000Z,"What's in your tax records Donnie? More corruption, lies Barr can't stop us from setting the record straight. Thank you Supreme Court Justices, at least 7 of you understand the President is NOT above the law.",mazars,Positive
1252748378892632064_2020-07-09T16:27:43.000Z,Donald Trumps Temper tantrum over Supreme Court ruling gives me lifeee!!! Keep it going bunker bitch #TrumpTaxes #SCOTUS #TrumpMeltdown #TrumpTaxReturns,mazars,Positive
894703634658635777_2018-06-04T16:50:44.000Z,1 or 2 more appointments and the Supreme Court will be once again be upholding the Constitution instead of interpreting it.,masterpiece,Neutral
1252784556_2018-06-04T20:04:04.000Z,Bravo to the Supreme Court for not allowing crazy leftists to force feed their agenda onto free americans just trying to live guided by their principles. Hopefully this sends a message. #getyourcakesomewhereelse #crybabies,masterpiece,Positive
878704818323247109_2020-07-09T16:40:39.000Z,Jay Sekulow Trump's lawyer who argued his case before the Supreme Court is drinking big time right now. And he's about to be fired and probably not being paid. Good morning!!!,mazars,Negative
306112609_2018-06-05T09:29:41.000Z,"As a Christian, I’m not rejoicing over #SCOTUS decision, that the Baker didn’t have to make the cake. We aren’t called to agree with our neighbor, we are called to love them! #LoveYourNeighbor #BeLikeJesus #LoveWins",masterpiece,Negative
15281435_2020-07-14T21:49:54.000Z,"2020... how can I make this year more chaotic for the election?

How about adding the drama of #RBG stepping down from the Supreme Court!! #SCOTUS #Trump2020Landslide",mazars,Negative
774310883359006720_2020-07-09T15:47:59.000Z,2nd part Supreme Ct Rulings: TODAY Trump got his ass kicked 2-X resoundingly 7-2 by the high court. Regardless of his own denials he now knows he will face NY DA’s criminal charges Feb’21 Vote to send him packing! Your life your family your nation deserves an honest president,mazars,Positive
14609252_2020-07-09T16:21:15.000Z,Maybe just maybe the lower courts are getting stacked with incompetent wingnut judges and the Supreme Court is getting a lot of things right.,mazars,Negative
965411291081904128_2020-07-09T14:41:52.000Z,"At the same moment #BLM is painted in front of Trump Tower, SCOTUS rules against him regarding his taxes. I’m grinning imagining the temper tantrum Baby Trump is throwing right now. #Biden2020",mazars,Positive
758143000715329536_2020-07-09T14:28:51.000Z,"“No president is above the law.” - The supreme court July 9, 2020 #LawAndOrder #lockhimup",mazars,Neutral
910124566231621632_2020-07-09T15:46:50.000Z,Lmao at least I got a laugh even tho scotus pussied out today. They have started painting BLACK LIVES MATTER directly in front of trump tower on 5th avenue hahahahays,mazars,Positive
59324804_2020-07-09T14:19:20.000Z,Supreme Court rules against @POTUS and now we get to see tax returns!! Someone in the Oval Office is going to be an angry orange guy today!,mazars,Positive
14119938_2018-06-04T16:02:38.000Z,It’s time to form a gay religion. #Pride #SCOTUS #cupcakewars,masterpiece,Positive
33791935_2020-07-09T14:25:25.000Z,Justice #ClarenceThomas is waste of space on the #scotus,mazars,Negative
939998124856303619_2018-06-05T16:00:25.000Z,I thank God for the ruling that came down from SCOTUS on the baker who didn't want to bake the cake. Fellow Americans we should not have to go against our Christian faith. We Christians have bent over backwards for other faith. We have been trampled,masterpiece,Positive
159729004_2018-06-04T18:39:55.000Z,Going to need @maddow to explain why our Supreme Court could approve discrimination based on Religious Practice.,masterpiece,Negative
15085237_2018-06-04T14:50:14.000Z,"The @AP worded their headline/tweet about this morning's SCOTUS ruling in a way that could imply either a narrow/close vote, or a narrow/focused legal application. The vote was 7-2. You can decide if you believe it was a purposeful or biased wording choice.",masterpiece,Negative
1496118650_2018-06-04T14:54:22.000Z,SCOTUS is trash.,masterpiece,Negative
26350255_2018-06-04T18:28:26.000Z,My concern w #SCOTUS  ruling is who will we be able to deny services to next? #Muslims #Jews #africanamericans #women #elderly #handicapped ? #aclu,masterpiece,Negative
993217899354644481_2020-07-14T21:40:55.000Z,"BREAKING: Supreme Court Justice Ruth Bader Ginsburg has been hospitalized for a possible infection, per a SCOTUS spokesperson. @Scotus @ruthbadergins",mazars,Neutral
26730338_2018-06-04T16:12:13.000Z,Thank you Supreme Court I take pride in your decision!!!!✝️ #SCOTUS,masterpiece,Positive
2672494308_2020-07-09T05:14:01.000Z,"The Supreme Court is going to disappoint us tomorrow. And trump will feel even more untouchable. He’ll brag about it at his Klan rallies. Sweaty orange spray tan pooling above his lip, smug faced as he gloats and brags. It makes me sick.",mazars,Negative
1289157457_2020-07-09T16:39:24.000Z,Oooooh @Scotus has really upset Spanky now! #TrumpIsATraitor #TrumpIsACriminal #LockHimUp,mazars,Negative
794919487_2020-07-10T12:41:30.000Z,I call BS on @MSNBC narrative on Supreme Court decision. Evaluation should be a mgianst criteria if Rule of Law. @WillieGeist @chucktodd ask poltical questions. Trump’s cases so outrageous no other answers were possible. Cases say nothing about SCOTUS partisanship.,mazars,Negative
755584963467018240_2020-07-09T14:32:34.000Z,The president wins again. @realdonaldtrump scotus rules the Democrats can't have President Trump's Financial records. #coronavirus #scotus #Trump,mazars,Positive
821901681231298560_2020-07-09T22:12:51.000Z,I’m telling you now. Vance knows Trump is Fucked. Deutsche Bank knows Trump is fucked. The Supreme Court knows Trump is fucked. Federal court of Appeals knows Trump is fucked. Trump knows Trump is fucked.,mazars,Negative
147659600_2018-06-04T16:13:10.000Z,"The US Supreme Court decides the Wedding cake case today; finding that the commission violated the rights of the baker of the cake by taking a hostile view of his religious beliefs, dodging the central issue in the case.  

#MasterpieceCakeshop",masterpiece,Negative
897591821148319744_2020-07-15T22:38:32.000Z,"Donald Trump has lost in the Supreme Court but for some reason he’s still fighting the Manhattan DA.   It seems Trump doesn’t want anyone to have access to his financial records related to hush money payments to two women, one of whom is the porn actress Stormy Daniels.",mazars,Negative
317892834_2018-06-04T16:21:59.000Z,"When people say my vote doesn’t matter, just remember the #POTUS selects #SCOTUS members....just saying",masterpiece,Neutral
24294066_2020-07-09T15:30:37.000Z,"This Supreme Court ruling highlights why there needs to be term limits for scotus, healthcare needs to uncoupled from employment, Christianity brings nothing but evil but, most importantly it shows you why voting at every level matters",mazars,Negative
2163559891_2020-07-09T17:33:26.000Z,"Like first round draft picks #SCOTUS justices aren’t perfectly predictable, hurrah
#gorsuch #Kavanaugh #roberts",mazars,Positive
42984653_2020-07-09T20:54:34.000Z,The Supreme Court of Illinois has ordered the Illinois Board of Admissions to the Bar to respond to our petition by July 13th.,mazars,Positive
236655360_2018-06-04T14:24:46.000Z,Supreme Court rules in favor of Colorado baker! This day is getting better by the minute!,masterpiece,Positive
1704646470_2020-07-09T14:18:19.000Z,Both of the people who Trump put on the Supreme Court said that New York could seek his financial records. 😂,mazars,Positive
935184019712626690_2018-06-05T03:48:36.000Z,"So totally pro LGBT and all but that dude who wouldn't make that cake for the same-sex wedding totally holds that right as a business owner to refuse service at his discretion in my opinion, but what do you think?

#SCOTUS",masterpiece,Positive
1265710676317818881_2020-07-09T22:41:08.000Z,to the judges of the United States supreme Court if you still want to be the top judges in the world then you might want to speak in English [EMAIL] we and my fellow Americans would love for you to email me back.,mazars,Negative
532667596_2018-06-04T18:16:34.000Z,Why is everyone saying the SCOTUS decision was narrow? It was 7-2 ruling in favor of discrimination.,masterpiece,Negative
