source_id,source_row,source_sentiment,source_fold,source_vader_sentiment,source_svm_sentiment,source_bert_sentiment,text,gt_pro_kavanaugh
kavanaugh_1,1,0,3,0.0,0,0,RT @willchamberlain Ms. Ford sent an anonymous letter. She scrubbed her social media. She refuses to go on the record. She demanded an FBI investigation. She demands to testify after Kavanaugh. She demands no questions from outside counsel. Why? Because she’s lying. #ConfirmKavanaugh,1
kavanaugh_2,2,0,1,0.0,0,0,RT @dbongino Is there ever going to come a day when Republicans stop pretending we lost the election? #Kavanaugh #Immigration #GovernmentSpending,1
kavanaugh_3,3,0,5,1.0,0,0,"RT @SuzeOrmanShow He violates every one of my rules — huge debt, buying a house he can’t afford, borrowing against 401k, buying tickets and country club fees that he can’t afford —not what a Supreme Court justice should be doing https://t.co/f5XpKTTOmz",0
kavanaugh_4,4,0,5,0.0,0,0,"RT @funder Dear Judge Kavanaugh- We request that you withdraw your nomination. Whether it's the stolen emails, hidden documents, your perjury, your lies, your work in the Bush WH and now the assault allegations... America deserves better. Withdraw. Signed, Everyone Who Retweets This 🇺🇸",0
kavanaugh_5,5,0,3,0.0,0,0,RT @BrianKarem BREAKING: Montgomery MD PD Chief Tom Manger confirms will investigate sexual allegations against Brett Kavanaugh if a complaint is filed. ⁦@CNN⁩ ⁦@ChrisCuomo⁩ https://t.co/JDo30ZVPJn,0
kavanaugh_6,6,0,4,0.0,0,0,"RT @KimStrassel 1) Breaking, and a big deal: Fourth person that Ford named as present at infamous event denies even knowing kavanaugh, much less ever attending a party where he was present.",1
kavanaugh_7,7,0,2,1.0,0,0,"RT @WhitfordBradley For a guy who’s a judge, Brett Kavanaugh seems to really hate the idea of going through a fair, methodical process where information is gathered and opposing points of view are expressed so that we can find out the truth.",0
kavanaugh_8,8,0,2,1.0,0,0,"RT @RealCandaceO #whyididntreportit Because it never happened, and I’m literally making it up so that I can help @TheDemocrats delay Brett Kavanaugh’s hearing. Thank you all for allowing me this safe space to share my non-story, 34 years later.",1
kavanaugh_9,9,0,2,1.0,0,0,"RT @TalbertSwan During my grandmother’s generation, evangelicals preached against adulterers, fornicators, pedophiles and sexual predators. Today, they justify voting for them to be president, senators and Supreme Court justices. My, how times of changed.",0
kavanaugh_10,10,0,4,1.0,0,0,RT @PattyArquette I am going to remind you @SenatorCollins and all @GOP of what I said weeks ago. You are hanging your hat on Kavanaugh and you YOURSELVES haven’t read his records because they aren’t available. Is this the man you want to stake your political careers on?,0
kavanaugh_11,11,0,2,1.0,0,0,"RT @mrdolcethecat More and more Americans now oppose Kavanaugh than support him. In a poll conducted Sunday, when Dr. Ford’s accusation was made public, through Wednesday - 38% of voters oppose Kavanaugh. Now ONLY 27% approve. #KavaNOPE https://t.co/xR2QnRizAL",0
kavanaugh_12,12,0,5,0.0,0,0,"RT @realTylerZed Corey Booker wrote a piece in 1992 called “So Much for Stealing Second” in which he details groping a woman at 15 years old. If Kavanaugh is investigated for his supposed actions at 17, Corey Booker better be investigated, too. He already admitted to it so it won’t take long!",1
kavanaugh_13,13,0,1,1.0,0,0,RT @DineshDSouza What about the octogenarian turkey on the Supreme Court who can’t stay awake at public events? https://t.co/1VVGU0Z69y,1
kavanaugh_14,14,0,1,1.0,0,0,RT @mflynnJR The Republicans can certainly kiss the midterms goodbye if they blow this Kavanaugh confirmation.,1
kavanaugh_15,15,0,1,1.0,0,0,"RT @RogueSNRadvisor Putting aside everything else for a moment, Kavanaugh's murky financials are major, major red flags. Dark money. Unexplained debt payments. There is very clearly a concerted, monied effort running in the background. https://t.co/evicRbvMLp",0
kavanaugh_16,16,0,4,0.0,0,0,"RT @marklutchman Boom! Ben Carson just broke his silence on Kavanaugh accusations, Says exactly what Democrats don’t want to hear. Who else thinks Dr. Ford is full of crap? 🙋🏽‍♂️ https://t.co/sW95m09Xyd",1
kavanaugh_17,17,0,2,,0,0,RT @kazweida Kavanaugh and Gorsuch have quite a few things in common. Including a sex ed teacher who was convicted of child pornography. 👀 https://t.co/XySbFK74bd,0
kavanaugh_18,18,0,3,1.0,0,0,RT @mschlapp Im told that Jeff Flake is the only Republican causing problems for Kavanaugh. He's gone from conservative champion to roadblock.,1
kavanaugh_19,19,0,2,1.0,0,0,"RT @johncardillo I just hope that when #Kavanaugh is seated on SCOTUS, he remembers daily what Democrats and leftist activists did to him and his family.",1
kavanaugh_20,20,0,4,0.0,0,1,"RT @charlescwcooke A third named witness, whose lawyer confirms she’s a lifelong friend of Kavanaugh’s accuser, rejects the allegations against Kavanaugh. Nobody has confirmed it; everyone named as present has denied; the only person yet to testify under oath is the accuser. https://t.co/diHdsDiLDG",1
kavanaugh_21,21,0,3,0.0,0,0,"RT @mitchellvii I'm more concerned about how Judge Kavanaugh's wife and daughters feel than how Christine Ford feels. She's feeling \anxiety\""? I would too if I was about to perjure myself in front of the whole planet.""",1
kavanaugh_22,22,0,2,0.0,0,0,"RT @AnnCoulter Senator, she's not testifying. Her lawyers are stalling until they can find a willing stooge to make another non-disprovable charge against Kavanaugh. END THE MADNESS! VOTE MONDAY. https://t.co/TP3qMkshrr",1
