text,target,gt_stance,target_short,votes_FAVOR,votes_AGAINST,votes_NONE,n_votes,vote_share_majority
#mtp @meetthepress How is deleting emails -part of the government record -different from erasing parts of a tape? #nixon #p2,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
@JDSon78 @AndrewBroering AndrewWhyDoYouCareAboutWhatIThink? I DidNotRealizeThatIWasThisImportant. SirTweet AndrewIsAPaidTroll,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
The white male vote is solidly GOP. The black vote is solidly DEM.  That leaves white females and brown ppl. #FeelTheBern,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
"@nyinvesting big banker buds need to ratchet up their ""Hillary cares about the little people"" propaganda",Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot,Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
"@RushetteNY @TwitchyTeam Hillary to press: ""Curtsy while you're thinking what to say, it saves time"" #throughthelookingglass",Hillary Clinton,AGAINST,Clinton,1.0,5.0,2.0,8.0,0.625
@GovtsTheProblem This is what I see: Make way 4 ur queen peasants! Don'ttouch or talk 2 her U filth! #NoHillary2016 #Benghazi,Hillary Clinton,AGAINST,Clinton,1.0,7.0,0.0,8.0,0.875
@CNNSotu @jaketapper - Can we get back to the issues? That's what #Bernie2016 wants to talk about. Not about,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
@nytimes But throws a rope around reporters and free speech.  #HillaryInNH,Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica",Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
@BeladonnaRogers @Chairmnoomowmow The compliant media allowed themeselves to b herded by a couple of strands of rope? Good sheep!,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
The #HillaryCampaignSong Top 20 will be revealed (and voting will resume) Monday morning at 10am PT!,Hillary Clinton,AGAINST,Clinton,1.0,5.0,2.0,8.0,0.625
@HillaryforNH will u rope off the people too Hillary swine?  #uppers #uniteblue,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
.@mite72 @PatVPeters NEITHER ONE!!!! Just making a funny!,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
"@LVNancy @incessantpatrio @bcwilliams92 Yes! #SoMuchUgly in #HillaryClinton, Hollow Acts Are Infamous! #WhyImNotVotingForHillary",Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
"@WoodenThreat @incessantpatrio @bcwilliams92 that was fun, but it wont be if we have another FAKE #POTUS #WhyImNotVotingForHillary",Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
Does #hillaryclinton lie and engage in cover-ups to do damage to the country or does she do it out of habit?  #tcot #uniteblue,Hillary Clinton,AGAINST,Clinton,1.0,7.0,0.0,8.0,0.875
I find allowing the deaths of Americans in Benghazi to be more offensive than the name Redskins. #Benghazi #redskins,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
"@Conservativeind @cannoneerfour Lets hope!  She's a killer, liar and a coward! #WakeUpAmerica #MakeAmericaGreatAgain",Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
"@DaGodfather907 @NahBabyNah If Jebb is our candidate, we will hand Hillary the keys to 1600?Penn Ave. #WakeUpAmerica",Hillary Clinton,AGAINST,Clinton,1.0,6.0,1.0,8.0,0.75
The ropes might keep people back now Hillary but You WILL answer to americans come debate time you coward. #tcot #RedNationRising,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
"RT @harrisongolden: ""So Clinton-esque,"" Brit Hume said of Hillary's email controversy. ""You never quite get the whole truth."">",Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
"I think marriage is as it has always been, between a man and a woman. - @HillaryClinton  #MarriageEquaility #justsaying",Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
@HillaryClinton Pin the tail on the DONKEY!  That means you Hilldawg.  #BernieSanders  #Jeb2016 #Cruz2016 #Election2016  #Rubio,Hillary Clinton,AGAINST,Clinton,1.0,7.0,0.0,8.0,0.875
@HillarityPress @Amedicinewoman 1.Food: #Benghazi 4 NeverAteAgain 2.Weather: #Benghazi WasFireHot 3.Pets: #Benghazi 4PetsMissThem,Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
