source_id,source_split,source_index,text,gt_causal_relation
politicause_train_2132,train,2132,A response to the emergency was provided with the debt deferment initiative that we took at the G20 and the establishment of a common framework that can now be used for its implementation.,0
politicause_train_11555,train,11555,The international economic and financial system must be transformed to better support the most vulnerable countries.,1
politicause_train_1051,train,1051,Previous updates were published by Public Health England.,0
politicause_train_15578,train,15578,"To ensure a fair and just transition, we must cut emissions — not jobs.",1
politicause_train_1084,train,1084,"Dr Meera Chand, Director of Clinical and Emerging Infections at UKHSA, said: UKHSA continues to monitor and study variants of SARS-CoV-2 closely and is working with academic partners to rapidly assess the significance of the lineages BA.4 and BA.5.",0
politicause_train_6378,train,6378,Russia advocates the adoption of a United Nations agreement on ways to ensure international information security.,0
politicause_train_10443,train,10443,We have nothing but respect for varied yet sincere positions and opinions on how to resolve the pressing issues we are facing to support our decision-making.,0
politicause_train_13674,train,13674,This is demonstrated by the ongoing implementation process of the Revitalized Peace Agreement and the willingness of all parties to work in Juba towards a permanent resolution of the conflict in the Republic of South Sudan.,0
politicause_train_8612,train,8612,"The success of the government’s Living with COVID plan, will enable the country to continue to move out of the pandemic while also protecting those at higher risk of serious outcomes from the virus through our testing regime.",1
politicause_train_12767,train,12767,"They then use that income to drive the war machinery, which has prevented the Government from paying withheld salaries in governorates under the control of the militias for more than five years.",1
politicause_train_5105,train,5105,"Dr Harries is now the Chief Executive of the newly formed UKHSA, which brings together Public Health England (PHE) and NHS Test and Trace, including the Joint Biosecurity Centre, with a remit to plan and prepare for current and future threats to our health.",0
politicause_train_2208,train,2208,"COP26 must deliver significant progress on the priority issues of climate financing, loss and damage, adaptation and mitigation, as well as the development of effective climate change plans.",0
politicause_train_4198,train,4198,"Whilst it is encouraging that case rates amongst those aged between 20 to 69 have fallen, they continued to rise in those over 70 who are more at risk of a bad outcome from the virus.",0
politicause_train_8909,train,8909,"The review concluded that people who received 2 doses of a vaccine against COVID-19 were less likely to develop long COVID symptoms or experience symptoms for a shorter time, compared with those unvaccinated.",0
politicause_train_14643,train,14643,It is a security risk of far greater proportions than many people are willing to admit.,0
politicause_train_4768,train,4768,It’s simply the best way to take care of yourself and it protects your loved ones from COVID-19.,0
politicause_train_13537,train,13537,"I also see it as the well-deserved culmination of his exemplary academic and diplomatic career, which confirms my belief that he will successfully carry out his difficult mission.",0
politicause_train_731,train,731,"Hospital admission rates for COVID-19 were highest in the North East, with a rate of 18.44 per 100,000 population.",0
politicause_train_13534,train,13534,It is to its credit that a large number of colonies gained their independence as a result of its continued action.,1
politicause_train_14921,train,14921,"In the face of greater constraints in access to concessional resources, our growth has instead reinforced the need for fiscal prudence and stability to achieve our core national objectives, including the continued reduction of the burden of poverty and the provision of increased and equitable access to all basic social services, particularly with respect to education and health for all our citizens.",0
politicause_train_6768,train,6768,"Over the past two decades, girls and women in Afghanistan could exercise their legitimate rights.",0
politicause_train_8571,train,8571,"Although COVID-19 infections and hospitalisations have risen in recent weeks, over 55% of those in hospital that have tested positive are not there with COVID-19 as their primary diagnosis.",0
politicause_train_14717,train,14717,"That was to support the promotion and implementation of Security Council resolution 1325 (2000), on the United Nations women and peace and security agenda.",0
politicause_train_55,train,55,"The regulations for self-isolation and face coverings have been laid before the House today, and will come into force at 4am tomorrow.",0
politicause_train_11186,train,11186,"Honduras is doing its part, with responsible macroeconomic policies designed to make the economy more certain, thereby generating stability that allows us to promote investments, create jobs and access to edit at concessional rates from multilateral organizations so as to develop productive and social infrastructure.",1
politicause_train_9810,train,9810,The seventy-fifth anniversary of the United Nations next year has been identified as an important opportunity to reduce the trust deficit among nations.,0
politicause_train_10110,train,10110,"We have supported Dr. Mukwege’s fund for the protection of victims of sexual violence and launched the Gender Equality Advisory Council, which we have expanded in conjunction with this session of the General Assembly and which, for the States that join it, consists of implementing at least one measure at the national level on women’s rights, based on best practices around the world.",0
politicause_train_11612,train,11612,"And we will be able to test students in universities with outbreaks, as well as children in schools, helping us to keep education open safely through the winter.",1
politicause_train_3269,train,3269,"Now, hoping that the worst is behind us, we are cautiously starting to open up our economy to ensure that normal life can resume for our people.",0
politicause_train_6610,train,6610,"For the balanced development of the global community, we need the powerful to behave responsibly and cooperate more effectively to enable a more inclusive and sustainable humanity for all, and to ensure that no one is left behind.",0
politicause_train_5789,train,5789,"These efforts will circumvent any of the disruptions caused by COVID-19 notably in the economy, education, health and public administration.",1
politicause_train_9141,train,9141,Fully vaccinated individuals who are identified as contacts of someone with COVID-19 should take daily rapid lateral flow tests for 7 days but are not legally required to self-isolate.,0
politicause_train_16587,train,16587,"Similarly, we believe that a political path is the best option for addressing regional issues and we appreciate the efforts of the United Nations, the international community and friendly States in that regard.",0
politicause_train_7209,train,7209,Madagascar calls on every State to act in an equitable manner commensurate with its polluting activity.,0
politicause_train_980,train,980,"So as the holiday season approaches and average levels of social mixing go up, please do come forward if you are eligible for a vaccine or a booster, and take up the jab as soon as you are offered.",0
politicause_train_4637,train,4637,This change will be welcomed by the millions of vaccinated people who are desperate to travel and will now be able to do so – restriction-free – for the first time in more than a year.,0
politicause_train_4417,train,4417,More on the Antivirals Taskforce.,0
politicause_train_12370,train,12370,"And as we rely on the international community to finance vital projects in the public and private sectors to revitalize the economic cycle and create job opportunities, we also rely on it to help us recover the smuggled funds stemming from corruption crimes.",0
politicause_train_9496,train,9496,"In this regard, the technical ministries of Ethiopia, the Sudan and Egypt met earlier this month in Cairo and will reconvene at the end of September and early October in Khartoum.",0
politicause_train_1729,train,1729,"This summer, Europe and my country were hit hard by extreme weather conditions.",0
politicause_train_3085,train,3085,"That militarization of the peninsula and water areas around it would be building up, which would undermine security balance of the Black Sea region.",1
