source_id,text,gold
AAW_ARB_20071008.0079-22,مليون متظاهر خرجوا تحت حماية البوليس للاحتجاج على قرار الحكومة بغزو العراق.,EVENT
AAW_ARB_20070111.0044-10,الى ذلك فرقت الشرطة السودانية مستخدمة الغاز المسيل للدموع مظاهرة نظمها حزب البعث العربي الاشتراكي في السودان للتنديد بإعدام الرئيس العراقي الراحل صدام حسين، وأصيب في الصدامات التي وقعت بين الشرطة والمتظاهرين عدد من الاشخاص من بينهم محمد عثمان ابوراس القيادي في حزب البعث السوداني.,EVENT
AAW_ARB_20071013.0014-2,وفي تصعيد من جانب الحركة، خرجت امس مظاهرات في مدن: جوبا وواو وملكال ورمبيك تأييدا لقرار الحركة، وتبارى الخطباء من قيادات الحركة في كيل الاتهامات لحزب المؤتمر الوطني، وطالب المتظاهرون، حسب شهود عيان تحدثوا لـ«الشرق الاوسط» قيادة الحركة بمواصلة الضغط في اتجاه تنفيذ اتفاق السلام، ولم تسجل اعمال عنف اثناء المظاهرات.,EVENT
AAW_ARB_20061101.0039-7,وتجمع آلاف المتظاهرين في خور كبرى بلدات منطقة باجور (200 كلم شمال غرب اسلام اباد) التي تبعد بضعة كيلومترات عن الحدود الافغانية، وهم يرددون هتافات من بينها «الموت لاميركا» و«الموت لبوش» و«الموت لمشرف» و«اوقفوا قتل الابرياء».,EVENT
AAW_ARB_20080318.0032-8,وكان 1000 لاجئ من التبت على الاقل قد احتشدوا خارج نصب «جانتار مانتار» التذكاري بوسط نيودلهي للاعراب عن تضامنهم مع المتظاهرين في التبت وسلموا خطابا لمكتب الامم المتحدة في المدينة لمطالبة الامين العام للمنظمة بان كي مون بالتدخل ومطالبة الحكومة الصينية بوقف «القمع غير الانساني للتبتيين في التبت» وإطلاق سراح المعتقلين.,EVENT
AAW_ARB_20070326.0006-2,وقالت المصادر، إن مظاهرة عنيفة اندلعت في منطقة بلحاف، وأحرق المتظاهرون طائرة هليكوبتر صغيرة تابعة لشركة لورك للغاز، التي تنفذ مشروعا للغاز في المنطقة.,EVENT
AAW_ARB_20070505.0051-11,وسد المتظاهرون لفترة قصيرة طريقا كانت تسلكه قافلة تابعة لقوات التحالف لكن الشرطة الافغانية فضت الاحتجاج وانفض المتظاهرون سلميا.,EVENT
AAW_ARB_20080310.0020-2,ودفعت الجماعة أمس بأكثر من خمسة آلاف متظاهر للاحتشاد أمام مقر مبنى محافظة الغربية، احتجاجا على عدم قبول أوراق مرشحي الجماعة لليوم الخامس على التوالي منذ فتح باب الترشيح؛ فيما فرضت قوات الأمن طوقا امنيا حول مقر لجان الترشيح.,EVENT
AAW_ARB_20070829.0022-9,كما خرج مساء أول من امس مئات من المتظاهرين تدعمهم الأحزاب المعارضة احتجاجا على تعامل الحكومة مع هذه الحرائق.,EVENT
AAW_ARB_20080907.0030-2,وشكل عدة مئات من المتظاهرين في هدوء سلسلة بشرية على مشارف مطار يريفان للاحتجاج على زيارة غل، على ما افاد مراسل وكالة الصحافة الفرنسية.,EVENT
e6874d82b9c4d0106356e6aa282cb0558dc82d2cf5541883b2b4e6de5a13ee1c380689cce4c458d89aa86111c94aa038fac0690a6231ebda3a5e16b51dc164c26d3f50b57d5364e4e13d85f06fba8d94539188865a4c60f9e809978d3f79b9c8b6f27fc9e16d8b4fd0351f0918a90b5f14f9c7b773b6633af0fe7bb90d5141cdd75fa83520ef6a64_34,قطع طريق بيروت  ـ  الجنوب    وفي إقليم الخروب (أحمد منصور) بدأت التجمعات في بلدة كترمايا عند الخامسة والنصف، حيث تجمهر الناس في الشارع الرئيسي مطلقين الشعارات من خلال مكبرات الصوت والأغاني الحماسية وخطب للرئيس الشهيد رفيق الحريري، فيما رفعت رايات «المستقبل» وسط الهتافات.,EVENT
