source_country,source_row_id,text,source_text_processed,source_maxscore,source_sentiment,gt_uncivil
USA,1,@GOP should be locked up.,lock,0.101363665033205,0.0,0
USA,2,Yup. And lord knows ERs are less expensive than preventative care. Why don't followers get that?,yup lord know er expensive preventative care follower,0.179751682303409,0.4939,0
USA,3,"You can't even spell Reagan correctly, yet you expect people to take you seriously... #LiteracyMatters",spell reagan correctly expect people seriously literacymatter,0.181903733496215,-0.1779,0
USA,4,I understand. I tried to figure the why for a while but it is just generationally ingrained down here. 5 generations of Rs won't flip,understand try figure generationally ingrain generation rs will flip,0.142654250904903,0.0,0
USA,5,"2/ the age of 65 who were uninsured in 2013 had insurance in 2015. The #ACA gave 12,000 #veterans insurance in AZ alone. #ShowUsTheBill",age uninsured insurance aca give veteran insurance az showusthebill,0.15363732607199,0.0,0
USA,6,I thought Kathy Griffin's idea for fighting back was really good. Try that.,think kathy griffin idea fight good try,0.182179880565193,0.0772,0
USA,7,Spy talk from @SenTomCotton sounds like BS before he gets to the end of the sentence. Hands Sessions a creampuff (softer than a softball.),spy talk sound like bs get end sentence hand sessions creampuff soft softball,0.17950232590387,0.7184,0
USA,8,Of course...that is why! Thanks dude!,course thank dude,0.209126290948053,0.3612,0
USA,9,I'm glad he didn't assault you with the bible.,glad assault bible,0.131800498343726,-0.2023,0
USA,10,And we know who interrupted.. GOP sold soul to Russia Burr.. and many more wch will be seen today (hint ? #LindseyGraham) it's all about $$,know interrupt gop sell soul russia burr wch see today hint lindseygraham,0.179751682303409,-0.34,0
USA,11,"By \we\"" you mean President Trump? Come on, call it. You are above this Senator Hatch. @senorrinhatch @realDonaldTrump""",mean president trump come senator hatch,0.190766950671424,0.0,0
USA,12,@SenDeanHeller thank you Senator and by the way I am a #Democrat #Medicaid #vivalasvegas,thank senator way democrat medicaid vivalasvegas,0.147638746040357,0.3612,0
USA,13,We can all agree with #Trump for a change.,agree trump change,0.111945275152235,0.3612,0
USA,14,@SenAlexander U do know GOP Healthcare Act will most hurt older poor Tennesseans! Do not support it! When r u gonna do a townhall mtg?#GOP,u know gop healthcare act hurt old poor tennesseans support r u gon na townhall,0.179751682303409,-0.5859,0
USA,15,"Please ask Sessions, Tues, if Comey requested additional resources from JD for Russia investigation. If no, ask him submit answer in writing",ask sessions tue comey request additional resource jd russia investigation ask submit answer writing,0.143408353297282,0.0,0
USA,16,"I knew Chris, he was an AWESOME human being. Love U brother.",know chris awesome human love u brother,0.179751682303409,0.8519,0
USA,17,You say too much. Only some of sticks.,stick,0.153410452387905,0.0,0
USA,18,.@SenCoryGardner I'm sure this'll end well for you. Stop being worthless and come home and face your constituents. Worst kind of cowardice.,sure end stop worthless come home face constituent worst kind cowardice,0.202523999625308,-0.5423,1
USA,19,@SenateAppropsGOP:@NASA @SenCapito concerned about assets in LEO. NASA job is to develop technologies& industries pickup the technology &bld,concerned asset leo nasa job develop technology industry pickup technology bld,0.123610488684703,0.3612,0
USA,20,@SenWarren Betty you and your Dems sick agenda won't wash anymore. We're all on to you and your crap.Get to work for the people.,betty dem sick agenda will wash anymore crap work people,0.216094511572972,-0.7096,1
USA,21,How did they ever talk ya'll into believing rep are richer than dems. That just makes no sense.,talk believe rep rich dem make sense,0.163647905788246,0.5574,0
USA,22,@SenatorBurr you're an ass. Full stop. #SenateIntelligenceCommittee @SenKamalaHarris you will be our #POTUS one day. #standyourground,ass stop senateintelligencecommittee potus day standyourground,0.246465655802736,-0.6908,1
